"","CrimeDate","AGG. ASSAULT","ARSON","ASSAULT BY THREAT","AUTO THEFT","BURGLARY","COMMON ASSAULT","HOMICIDE","LARCENY","LARCENY FROM AUTO","RAPE","ROBBERY - CARJACKING","ROBBERY - COMMERCIAL","ROBBERY - RESIDENCE","ROBBERY - STREET","SHOOTING"
"1",2010-01-01,25,2,2,9,18,41,0,33,12,0,1,1,0,1,0
"2",2010-01-02,3,0,0,9,21,19,0,30,15,1,0,2,1,4,0
"3",2010-01-03,9,0,3,9,14,21,0,19,15,2,0,0,0,5,0
"4",2010-01-04,10,0,2,11,24,22,0,38,26,1,0,2,2,2,0
"5",2010-01-05,12,1,0,13,19,13,0,22,17,1,1,1,2,6,0
"6",2010-01-06,8,0,0,12,28,28,0,29,18,1,0,2,1,9,0
"7",2010-01-07,17,3,1,7,22,28,0,25,21,1,2,1,2,4,0
"8",2010-01-08,5,0,1,18,29,27,0,20,19,1,1,2,0,3,0
"9",2010-01-09,8,0,1,15,12,15,0,22,28,0,0,3,2,7,0
"10",2010-01-10,14,2,2,6,11,32,0,28,28,0,0,0,4,1,0
"11",2010-01-11,9,0,0,4,16,28,0,31,22,1,1,3,2,8,0
"12",2010-01-12,13,1,2,11,25,20,0,33,21,0,0,0,2,8,0
"13",2010-01-13,10,2,0,11,25,20,0,33,18,0,0,1,1,4,0
"14",2010-01-14,12,4,0,5,20,13,0,32,22,1,0,2,1,10,0
"15",2010-01-15,14,1,1,11,34,30,0,26,20,0,1,2,3,5,0
"16",2010-01-16,18,1,2,14,14,21,0,20,23,0,1,1,2,5,0
"17",2010-01-17,7,2,1,17,22,19,0,13,14,2,0,2,1,7,0
"18",2010-01-18,13,1,0,13,19,29,0,32,25,0,1,2,3,13,0
"19",2010-01-19,11,2,0,11,32,26,0,27,18,1,0,3,1,15,0
"20",2010-01-20,14,0,2,11,21,22,0,29,23,0,0,0,0,9,0
"21",2010-01-21,8,0,1,8,22,27,0,23,17,0,0,4,4,4,0
"22",2010-01-22,11,1,3,12,19,18,0,26,21,0,0,7,2,4,0
"23",2010-01-23,14,0,2,10,22,20,0,19,19,0,0,0,0,5,0
"24",2010-01-24,16,1,3,9,21,17,0,20,22,2,0,0,2,12,0
"25",2010-01-25,19,2,1,15,20,14,0,18,14,0,0,1,1,5,0
"26",2010-01-26,12,0,4,6,31,29,0,29,17,0,0,0,0,5,0
"27",2010-01-27,18,0,0,11,19,17,0,22,10,0,0,0,0,4,0
"28",2010-01-28,7,0,0,11,20,15,0,16,13,1,0,0,3,6,0
"29",2010-01-29,10,0,2,14,18,10,0,16,6,0,0,0,2,2,0
"30",2010-01-30,17,1,1,11,12,17,0,11,13,1,0,1,0,2,0
"31",2010-01-31,11,1,0,13,4,14,0,14,17,0,0,1,1,6,0
"32",2010-02-01,4,1,4,9,18,20,0,27,13,0,0,0,0,4,0
"33",2010-02-02,15,1,2,12,16,24,0,14,8,1,0,0,3,4,0
"34",2010-02-03,8,0,3,8,14,19,0,13,14,0,0,1,3,7,0
"35",2010-02-04,14,2,0,5,14,27,0,18,10,0,0,0,1,5,0
"36",2010-02-05,14,2,0,10,20,20,0,18,8,1,0,1,2,6,0
"37",2010-02-06,7,1,0,3,6,12,0,2,3,0,0,1,1,1,0
"38",2010-02-07,5,0,1,4,4,7,0,3,4,0,0,0,0,4,0
"39",2010-02-08,7,1,1,9,10,18,0,7,6,0,0,0,1,4,0
"40",2010-02-09,8,0,1,7,12,14,0,7,4,0,2,3,2,0,0
"41",2010-02-10,5,1,1,6,8,10,0,9,0,0,0,0,0,2,0
"42",2010-02-11,13,0,1,8,7,12,0,9,0,1,0,0,2,4,0
"43",2010-02-12,11,0,0,8,7,21,0,15,3,0,0,0,0,2,0
"44",2010-02-13,11,0,5,13,9,26,0,15,11,0,0,0,1,3,0
"45",2010-02-14,16,1,2,12,5,17,0,11,7,0,0,0,0,2,0
"46",2010-02-15,10,2,1,11,12,19,0,20,11,1,0,1,0,6,0
"47",2010-02-16,5,1,0,4,14,13,0,11,9,0,0,2,1,1,0
"48",2010-02-17,12,0,2,7,10,11,0,13,8,0,0,0,1,4,0
"49",2010-02-18,7,1,0,12,15,21,0,20,14,1,0,1,0,2,0
"50",2010-02-19,12,1,1,10,11,17,0,23,15,0,0,0,4,1,0
"51",2010-02-20,17,2,1,8,19,18,0,19,12,0,1,0,3,3,0
"52",2010-02-21,12,0,0,10,12,27,0,11,12,1,1,0,3,3,0
"53",2010-02-22,8,1,1,11,13,16,0,22,16,0,0,3,0,6,0
"54",2010-02-23,15,1,1,10,20,15,0,27,13,0,1,4,4,6,0
"55",2010-02-24,16,1,0,6,15,22,0,23,21,0,0,0,0,10,0
"56",2010-02-25,19,1,1,10,20,27,0,20,9,1,0,1,3,6,0
"57",2010-02-26,8,0,0,17,17,19,0,28,21,0,3,0,1,5,0
"58",2010-02-27,16,2,0,12,20,24,0,24,27,0,0,1,1,5,0
"59",2010-02-28,19,0,0,12,8,16,0,9,14,0,0,1,1,5,0
"60",2010-03-01,9,1,2,12,29,20,0,34,17,0,1,0,0,8,0
"61",2010-03-02,9,0,2,5,23,19,0,26,19,0,0,0,0,12,0
"62",2010-03-03,15,0,2,10,22,22,0,29,12,1,0,1,3,9,0
