"","Week","total_arrests"
"1",2013-01-06,882
"2",2013-01-13,881
"3",2013-01-20,807
"4",2013-01-27,828
"5",2013-02-03,838
"6",2013-02-10,852
"7",2013-02-17,884
"8",2013-02-24,895
"9",2013-03-03,844
"10",2013-03-10,902
"11",2013-03-17,806
"12",2013-03-24,823
"13",2013-03-31,848
"14",2013-04-07,787
"15",2013-04-14,769
"16",2013-04-21,886
"17",2013-04-28,796
"18",2013-05-05,766
"19",2013-05-12,817
"20",2013-05-19,819
"21",2013-05-26,796
"22",2013-06-02,850
"23",2013-06-09,739
"24",2013-06-16,857
"25",2013-06-23,850
"26",2013-06-30,781
"27",2013-07-07,795
"28",2013-07-14,747
"29",2013-07-21,832
"30",2013-07-28,843
"31",2013-08-04,831
"32",2013-08-11,929
"33",2013-08-18,863
"34",2013-08-25,883
"35",2013-09-01,828
"36",2013-09-08,932
"37",2013-09-15,901
"38",2013-09-22,812
"39",2013-09-29,855
"40",2013-10-06,727
"41",2013-10-13,856
"42",2013-10-20,792
"43",2013-10-27,813
"44",2013-11-03,777
"45",2013-11-10,736
"46",2013-11-17,732
"47",2013-11-24,581
"48",2013-12-01,731
"49",2013-12-08,640
"50",2013-12-15,754
"51",2013-12-22,563
"52",2013-12-29,684
"53",2014-01-05,787
"54",2014-01-12,890
"55",2014-01-19,647
"56",2014-01-26,809
"57",2014-02-02,830
"58",2014-02-09,603
"59",2014-02-16,820
"60",2014-02-23,824
"61",2014-03-02,853
"62",2014-03-09,770
"63",2014-03-16,823
"64",2014-03-23,864
"65",2014-03-30,856
"66",2014-04-06,896
"67",2014-04-13,826
"68",2014-04-20,865
"69",2014-04-27,816
"70",2014-05-04,821
"71",2014-05-11,796
"72",2014-05-18,898
"73",2014-05-25,891
"74",2014-06-01,885
"75",2014-06-08,836
"76",2014-06-15,833
"77",2014-06-22,793
"78",2014-06-29,766
"79",2014-07-06,870
"80",2014-07-13,847
"81",2014-07-20,921
"82",2014-07-27,797
"83",2014-08-03,854
"84",2014-08-10,786
"85",2014-08-17,781
"86",2014-08-24,802
"87",2014-08-31,813
"88",2014-09-07,880
"89",2014-09-14,768
"90",2014-09-21,771
"91",2014-09-28,669
"92",2014-10-05,669
"93",2014-10-12,673
"94",2014-10-19,639
"95",2014-10-26,678
"96",2014-11-02,633
"97",2014-11-09,699
"98",2014-11-16,598
"99",2014-11-23,509
"100",2014-11-30,516
"101",2014-12-07,570
"102",2014-12-14,511
"103",2014-12-21,360
"104",2014-12-28,527
"105",2015-01-04,430
"106",2015-01-11,606
"107",2015-01-18,665
"108",2015-01-25,725
"109",2015-02-01,661
"110",2015-02-08,666
"111",2015-02-15,562
"112",2015-02-22,620
"113",2015-03-01,533
"114",2015-03-08,616
"115",2015-03-15,647
"116",2015-03-22,665
"117",2015-03-29,680
"118",2015-04-05,700
"119",2015-04-12,572
"120",2015-04-19,500
"121",2015-04-26,634
"122",2015-05-03,319
"123",2015-05-10,358
"124",2015-05-17,349
"125",2015-05-24,354
"126",2015-05-31,466
