"","Week","total_crimes"
"1",2011-01-02,11
"2",2011-01-09,8
"3",2011-01-16,8
"4",2011-01-23,12
"5",2011-01-30,4
"6",2011-02-06,6
"7",2011-02-13,9
"8",2011-02-20,8
"9",2011-02-27,5
"10",2011-03-06,14
"11",2011-03-13,16
"12",2011-03-20,12
"13",2011-03-27,12
"14",2011-04-03,18
"15",2011-04-10,11
"16",2011-04-17,18
"17",2011-04-24,22
"18",2011-05-01,7
"19",2011-05-08,17
"20",2011-05-15,11
"21",2011-05-22,15
"22",2011-05-29,9
"23",2011-06-05,8
"24",2011-06-12,15
"25",2011-06-19,12
"26",2011-06-26,12
"27",2011-07-03,7
"28",2011-07-10,19
"29",2011-07-17,8
"30",2011-07-24,19
"31",2011-07-31,12
"32",2011-08-07,6
"33",2011-08-14,9
"34",2011-08-21,15
"35",2011-08-28,13
"36",2011-09-04,7
"37",2011-09-11,12
"38",2011-09-18,13
"39",2011-09-25,15
"40",2011-10-02,8
"41",2011-10-09,13
"42",2011-10-16,11
"43",2011-10-23,7
"44",2011-10-30,8
"45",2011-11-06,15
"46",2011-11-13,4
"47",2011-11-20,5
"48",2011-11-27,7
"49",2011-12-04,9
"50",2011-12-11,11
"51",2011-12-18,17
"52",2011-12-25,3
"53",2012-01-01,11
"54",2012-01-08,7
"55",2012-01-15,10
"56",2012-01-22,10
"57",2012-01-29,10
"58",2012-02-05,5
"59",2012-02-12,8
"60",2012-02-19,6
"61",2012-02-26,9
"62",2012-03-04,11
"63",2012-03-11,10
"64",2012-03-18,11
"65",2012-03-25,11
"66",2012-04-01,10
"67",2012-04-08,12
"68",2012-04-15,11
"69",2012-04-22,13
"70",2012-04-29,12
"71",2012-05-06,8
"72",2012-05-13,14
"73",2012-05-20,15
"74",2012-05-27,18
"75",2012-06-03,18
"76",2012-06-10,14
"77",2012-06-17,6
"78",2012-06-24,7
"79",2012-07-01,14
"80",2012-07-08,11
"81",2012-07-15,13
"82",2012-07-22,13
"83",2012-07-29,13
"84",2012-08-05,8
"85",2012-08-12,9
"86",2012-08-19,17
"87",2012-08-26,10
"88",2012-09-02,21
"89",2012-09-09,6
"90",2012-09-16,12
"91",2012-09-23,18
"92",2012-09-30,6
"93",2012-10-07,11
"94",2012-10-14,14
"95",2012-10-21,12
"96",2012-10-28,9
"97",2012-11-04,10
"98",2012-11-11,15
"99",2012-11-18,12
"100",2012-11-25,12
"101",2012-12-02,11
"102",2012-12-09,10
"103",2012-12-16,9
"104",2012-12-23,11
"105",2012-12-30,10
"106",2013-01-06,11
"107",2013-01-13,15
"108",2013-01-20,5
"109",2013-01-27,14
"110",2013-02-03,10
"111",2013-02-10,3
"112",2013-02-17,8
"113",2013-02-24,9
"114",2013-03-03,9
"115",2013-03-10,5
"116",2013-03-17,9
"117",2013-03-24,4
"118",2013-03-31,11
"119",2013-04-07,18
"120",2013-04-14,16
"121",2013-04-21,8
"122",2013-04-28,6
"123",2013-05-05,12
"124",2013-05-12,12
"125",2013-05-19,19
"126",2013-05-26,18
"127",2013-06-02,14
"128",2013-06-09,17
"129",2013-06-16,22
"130",2013-06-23,26
"131",2013-06-30,18
"132",2013-07-07,15
"133",2013-07-14,7
"134",2013-07-21,18
"135",2013-07-28,15
"136",2013-08-04,10
"137",2013-08-11,19
"138",2013-08-18,25
"139",2013-08-25,12
"140",2013-09-01,17
"141",2013-09-08,15
"142",2013-09-15,10
"143",2013-09-22,9
"144",2013-09-29,7
"145",2013-10-06,5
"146",2013-10-13,11
"147",2013-10-20,8
"148",2013-10-27,10
"149",2013-11-03,13
"150",2013-11-10,12
"151",2013-11-17,7
"152",2013-11-24,4
"153",2013-12-01,13
"154",2013-12-08,12
"155",2013-12-15,15
"156",2013-12-22,14
"157",2013-12-29,16
"158",2014-01-05,12
"159",2014-01-12,11
"160",2014-01-19,10
"161",2014-01-26,14
"162",2014-02-02,7
"163",2014-02-09,4
"164",2014-02-16,2
"165",2014-02-23,9
"166",2014-03-02,3
"167",2014-03-09,7
"168",2014-03-16,2
"169",2014-03-23,8
"170",2014-03-30,9
"171",2014-04-06,5
"172",2014-04-13,12
"173",2014-04-20,7
"174",2014-04-27,13
"175",2014-05-04,11
"176",2014-05-11,16
"177",2014-05-18,16
"178",2014-05-25,12
"179",2014-06-01,13
"180",2014-06-08,8
"181",2014-06-15,12
"182",2014-06-22,10
"183",2014-06-29,22
"184",2014-07-06,6
"185",2014-07-13,14
"186",2014-07-20,15
"187",2014-07-27,28
"188",2014-08-03,17
"189",2014-08-10,13
"190",2014-08-17,16
"191",2014-08-24,13
"192",2014-08-31,19
"193",2014-09-07,9
"194",2014-09-14,7
"195",2014-09-21,13
"196",2014-09-28,9
"197",2014-10-05,18
"198",2014-10-12,8
"199",2014-10-19,10
"200",2014-10-26,10
"201",2014-11-02,14
"202",2014-11-09,11
"203",2014-11-16,8
"204",2014-11-23,10
"205",2014-11-30,12
"206",2014-12-07,10
"207",2014-12-14,13
"208",2014-12-21,8
"209",2014-12-28,13
"210",2015-01-04,12
"211",2015-01-11,13
"212",2015-01-18,9
"213",2015-01-25,17
"214",2015-02-01,5
"215",2015-02-08,9
"216",2015-02-15,4
"217",2015-02-22,10
"218",2015-03-01,9
"219",2015-03-08,10
"220",2015-03-15,9
"221",2015-03-22,11
"222",2015-03-29,15
"223",2015-04-05,7
"224",2015-04-12,10
"225",2015-04-19,12
"226",2015-04-26,25
"227",2015-05-03,23
"228",2015-05-10,36
"229",2015-05-17,39
"230",2015-05-24,34
"231",2015-05-31,22
