"","Week","violent_crimes"
"1",2011-01-02,332
"2",2011-01-09,275
"3",2011-01-16,319
"4",2011-01-23,263
"5",2011-01-30,282
"6",2011-02-06,289
"7",2011-02-13,324
"8",2011-02-20,337
"9",2011-02-27,399
"10",2011-03-06,407
"11",2011-03-13,442
"12",2011-03-20,396
"13",2011-03-27,373
"14",2011-04-03,415
"15",2011-04-10,445
"16",2011-04-17,390
"17",2011-04-24,454
"18",2011-05-01,362
"19",2011-05-08,451
"20",2011-05-15,442
"21",2011-05-22,475
"22",2011-05-29,448
"23",2011-06-05,343
"24",2011-06-12,369
"25",2011-06-19,392
"26",2011-06-26,375
"27",2011-07-03,396
"28",2011-07-10,381
"29",2011-07-17,416
"30",2011-07-24,434
"31",2011-07-31,445
"32",2011-08-07,398
"33",2011-08-14,418
"34",2011-08-21,367
"35",2011-08-28,368
"36",2011-09-04,374
"37",2011-09-11,380
"38",2011-09-18,410
"39",2011-09-25,426
"40",2011-10-02,397
"41",2011-10-09,441
"42",2011-10-16,397
"43",2011-10-23,344
"44",2011-10-30,389
"45",2011-11-06,384
"46",2011-11-13,382
"47",2011-11-20,347
"48",2011-11-27,399
"49",2011-12-04,330
"50",2011-12-11,404
"51",2011-12-18,389
"52",2011-12-25,337
"53",2012-01-01,364
"54",2012-01-08,341
"55",2012-01-15,348
"56",2012-01-22,366
"57",2012-01-29,364
"58",2012-02-05,325
"59",2012-02-12,338
"60",2012-02-19,317
"61",2012-02-26,329
"62",2012-03-04,379
"63",2012-03-11,472
"64",2012-03-18,433
"65",2012-03-25,423
"66",2012-04-01,364
"67",2012-04-08,330
"68",2012-04-15,447
"69",2012-04-22,346
"70",2012-04-29,406
"71",2012-05-06,389
"72",2012-05-13,430
"73",2012-05-20,428
"74",2012-05-27,444
"75",2012-06-03,404
"76",2012-06-10,432
"77",2012-06-17,404
"78",2012-06-24,374
"79",2012-07-01,379
"80",2012-07-08,359
"81",2012-07-15,353
"82",2012-07-22,365
"83",2012-07-29,377
"84",2012-08-05,375
"85",2012-08-12,390
"86",2012-08-19,358
"87",2012-08-26,394
"88",2012-09-02,412
"89",2012-09-09,338
"90",2012-09-16,402
"91",2012-09-23,446
"92",2012-09-30,356
"93",2012-10-07,372
"94",2012-10-14,386
"95",2012-10-21,373
"96",2012-10-28,304
"97",2012-11-04,349
"98",2012-11-11,382
"99",2012-11-18,336
"100",2012-11-25,399
"101",2012-12-02,376
"102",2012-12-09,404
"103",2012-12-16,309
"104",2012-12-23,302
"105",2012-12-30,373
"106",2013-01-06,360
"107",2013-01-13,380
"108",2013-01-20,299
"109",2013-01-27,326
"110",2013-02-03,356
"111",2013-02-10,327
"112",2013-02-17,299
"113",2013-02-24,343
"114",2013-03-03,307
"115",2013-03-10,358
"116",2013-03-17,349
"117",2013-03-24,308
"118",2013-03-31,342
"119",2013-04-07,398
"120",2013-04-14,400
"121",2013-04-21,365
"122",2013-04-28,364
"123",2013-05-05,403
"124",2013-05-12,399
"125",2013-05-19,385
"126",2013-05-26,406
"127",2013-06-02,401
"128",2013-06-09,395
"129",2013-06-16,393
"130",2013-06-23,356
"131",2013-06-30,378
"132",2013-07-07,326
"133",2013-07-14,364
"134",2013-07-21,401
"135",2013-07-28,371
"136",2013-08-04,379
"137",2013-08-11,375
"138",2013-08-18,383
"139",2013-08-25,409
"140",2013-09-01,400
"141",2013-09-08,368
"142",2013-09-15,352
"143",2013-09-22,381
"144",2013-09-29,386
"145",2013-10-06,323
"146",2013-10-13,369
"147",2013-10-20,329
"148",2013-10-27,379
"149",2013-11-03,338
"150",2013-11-10,350
"151",2013-11-17,275
"152",2013-11-24,286
"153",2013-12-01,362
"154",2013-12-08,262
"155",2013-12-15,399
"156",2013-12-22,314
"157",2013-12-29,349
"158",2014-01-05,302
"159",2014-01-12,314
"160",2014-01-19,264
"161",2014-01-26,307
"162",2014-02-02,301
"163",2014-02-09,237
"164",2014-02-16,266
"165",2014-02-23,323
"166",2014-03-02,275
"167",2014-03-09,350
"168",2014-03-16,288
"169",2014-03-23,325
"170",2014-03-30,324
"171",2014-04-06,300
"172",2014-04-13,332
"173",2014-04-20,350
"174",2014-04-27,367
"175",2014-05-04,356
"176",2014-05-11,374
"177",2014-05-18,377
"178",2014-05-25,354
"179",2014-06-01,355
"180",2014-06-08,351
"181",2014-06-15,327
"182",2014-06-22,332
"183",2014-06-29,321
"184",2014-07-06,305
"185",2014-07-13,314
"186",2014-07-20,316
"187",2014-07-27,342
"188",2014-08-03,327
"189",2014-08-10,318
"190",2014-08-17,316
"191",2014-08-24,345
"192",2014-08-31,415
"193",2014-09-07,304
"194",2014-09-14,318
"195",2014-09-21,377
"196",2014-09-28,373
"197",2014-10-05,332
"198",2014-10-12,368
"199",2014-10-19,344
"200",2014-10-26,318
"201",2014-11-02,313
"202",2014-11-09,357
"203",2014-11-16,306
"204",2014-11-23,315
"205",2014-11-30,319
"206",2014-12-07,317
"207",2014-12-14,294
"208",2014-12-21,262
"209",2014-12-28,290
"210",2015-01-04,228
"211",2015-01-11,291
"212",2015-01-18,291
"213",2015-01-25,290
"214",2015-02-01,283
"215",2015-02-08,269
"216",2015-02-15,192
"217",2015-02-22,246
"218",2015-03-01,223
"219",2015-03-08,296
"220",2015-03-15,287
"221",2015-03-22,299
"222",2015-03-29,292
"223",2015-04-05,244
"224",2015-04-12,313
"225",2015-04-19,330
"226",2015-04-26,301
"227",2015-05-03,369
"228",2015-05-10,400
"229",2015-05-17,413
"230",2015-05-24,410
"231",2015-05-31,308
