"norm_W","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n.x","share.x","n.y","share.y","n","share"
0,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,57,0.052729,2,0.0714286,NA,NA
1,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,85,0.0786309,3,0.107143,4,0.125
1.2,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,68,0.0629047,NA,NA,1,0.03125
1.5,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,1,0.000925069,NA,NA,NA,NA
2,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,131,0.121184,5,0.178571,8,0.25
2.4,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,97,0.0897317,NA,NA,5,0.15625
2.5,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,3,0.00277521,NA,NA,NA,NA
3,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,181,0.167438,8,0.285714,4,0.125
3.5,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,2,0.00185014,NA,NA,NA,NA
3.6,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,92,0.0851064,NA,NA,1,0.03125
