no_tms,team_id,franch_id,tm_code,year_id,games,wins,WPCT,ELO,norm_W,rk_nW,elo_talent_wins,rk_eW,pi-x-nW,pi-x-eW
28,ram,ram,1978_ram,1978,6,6,1,1675.955829,6,2,11.52366608,1,12,11.52366608
28,pit,pit,1978_pit,1978,6,6,1,1667.328761,6,2,11.37843155,3,12,34.13529464
28,was,was,1978_was,1978,6,6,1,1626.9935,6,2,10.64779993,5,12,53.23899965
28,gnb,gnb,1978_gnb,1978,6,5,0.833333333,1505.71461,5,4,8.124244371,13,20,105.6151768
28,dal,dal,1978_dal,1978,6,4,0.666666667,1671.995237,4,7.5,11.45751958,2,30,22.91503916
28,rai,rai,1978_rai,1978,6,4,0.666666667,1642.390724,4,7.5,10.93602073,4,30,43.74408291
28,den,den,1978_den,1978,6,4,0.666666667,1616.756284,4,7.5,10.45053975,6,30,62.7032385
28,mia,mia,1978_mia,1978,6,4,0.666666667,1590.623203,4,7.5,9.929327132,7,30,69.50528992
28,nwe,nwe,1978_nwe,1978,6,4,0.666666667,1590.203147,4,7.5,9.920764891,8,30,79.36611913
28,cle,rav,1978_cle,1978,6,4,0.666666667,1528.902403,4,7.5,8.627154463,11,30,94.89869909
28,min,min,1978_min,1978,6,3,0.5,1552.820112,3,14.5,9.140422512,9,43.5,82.26380261
28,oti,oti,1978_oti,1978,6,3,0.5,1535.232874,3,14.5,8.763728195,10,43.5,87.63728195
28,chi,chi,1978_chi,1978,6,3,0.5,1500.279686,3,14.5,8.006067038,14,43.5,112.0849385
28,phi,phi,1978_phi,1978,6,3,0.5,1493.906831,3,14.5,7.867495699,16,43.5,125.8799312
28,nyg,nyg,1978_nyg,1978,6,3,0.5,1457.797037,3,14.5,7.086416553,17,43.5,120.4690814
28,sea,sea,1978_sea,1978,6,3,0.5,1427.86196,3,14.5,6.452128741,21,43.5,135.4947036
28,nyj,nyj,1978_nyj,1978,6,3,0.5,1395.815488,3,14.5,5.797217165,22,43.5,127.5387776
28,tam,tam,1978_tam,1978,6,3,0.5,1382.447844,3,14.5,5.53394327,23,43.5,127.2806952
28,clt,clt,1978_clt,1978,6,2,0.333333333,1507.017211,2,21,8.152561865,12,42,97.83074238
28,sdg,sdg,1978_sdg,1978,6,2,0.333333333,1497.344228,2,21,7.942233712,15,42,119.1335057
28,atl,atl,1978_atl,1978,6,2,0.333333333,1439.565113,2,21,6.698032524,18,42,120.5645854
28,buf,buf,1978_buf,1978,6,2,0.333333333,1372.25615,2,21,5.337881142,25,42,133.4470285
28,nor,nor,1978_nor,1978,6,2,0.333333333,1338.548749,2,21,4.722874328,27,42,127.5176069
28,sfo,sfo,1978_sfo,1978,6,1,0.166666667,1429.337767,1,25,6.482967606,20,25,129.6593521
28,det,det,1978_det,1978,6,1,0.166666667,1369.406179,1,25,5.283831168,26,25,137.3796104
28,kan,kan,1978_kan,1978,6,1,0.166666667,1313.788666,1,25,4.309350182,28,25,120.6618051
28,cin,cin,1978_cin,1978,6,0,0,1436.293365,0,27.5,6.628986551,19,0,125.9507445
28,crd,crd,1978_crd,1978,6,0,0,1380.652172,0,27.5,5.499093717,24,0,131.9782492
28,pit,pit,1979_pit,1979,6,5,0.833333333,1716.619048,5,2.5,12.14587581,1,12.5,12.14587581
28,dal,dal,1979_dal,1979,6,5,0.833333333,1673.053,5,2.5,11.47527433,2,12.5,22.95054866
28,phi,phi,1979_phi,1979,6,5,0.833333333,1579.103591,5,2.5,9.692670234,5,12.5,48.46335117
28,tam,tam,1979_tam,1979,6,5,0.833333333,1498.555708,5,2.5,7.968577636,14,12.5,111.5600869
28,sdg,sdg,1979_sdg,1979,6,4,0.666666667,1582.220953,4,9,9.757079408,3,36,29.27123823
28,ram,ram,1979_ram,1979,6,4,0.666666667,1581.467287,4,9,9.741531612,4,36,38.96612645
28,mia,mia,1979_mia,1979,6,4,0.666666667,1577.188878,4,9,9.65298185,6,36,57.9178911
28,den,den,1979_den,1979,6,4,0.666666667,1573.480439,4,9,9.575846729,7,36,67.0309271
28,nwe,nwe,1979_nwe,1979,6,4,0.666666667,1568.489051,4,9,9.47149769,8,36,75.77198152
28,oti,oti,1979_oti,1979,6,4,0.666666667,1568.458063,4,9,9.47084804,9,36,85.23763236
28,was,was,1979_was,1979,6,4,0.666666667,1531.62225,4,9,8.685884736,11,36,95.5447321
28,cle,rav,1979_cle,1979,6,4,0.666666667,1518.106975,4,9,8.393408915,12,36,100.720907
28,kan,kan,1979_kan,1979,6,4,0.666666667,1496.714837,4,9,7.928547917,15,36,118.9282188
28,rai,rai,1979_rai,1979,6,3,0.5,1540.035004,3,16,8.867020063,10,48,88.67020063
28,chi,chi,1979_chi,1979,6,3,0.5,1506.539885,3,16,8.142185611,13,48,105.8484129
28,atl,atl,1979_atl,1979,6,3,0.5,1491.443771,3,16,7.813956297,16,48,125.0233008
28,min,min,1979_min,1979,6,3,0.5,1469.943869,3,16,7.347893693,18,48,132.2620865
28,buf,buf,1979_buf,1979,6,3,0.5,1464.610019,3,16,7.232857956,19,48,137.4243012
28,crd,crd,1979_crd,1979,6,2,0.333333333,1486.14712,2,21,7.69888838,17,42,130.8811025
28,nyj,nyj,1979_nyj,1979,6,2,0.333333333,1459.294687,2,21,7.118555425,20,42,142.3711085
28,sea,sea,1979_sea,1979,6,2,0.333333333,1456.73366,2,21,7.063616069,21,42,148.3359374
