End Date,Perry
11/5/2008,
2/19/2009,
5/13/2009,
5/13/2009,
5/13/2009,
5/17/2009,
7/6/2009,
7/12/2009,
7/18/2009,
7/22/2009,
8/6/2009,
8/18/2009,
10/15/2009,
10/18/2009,
11/23/2009,
2/3/2010,
3/14/2010,
3/20/2010,
3/21/2010,
4/11/2010,
4/11/2010,
5/9/2010,
6/7/2010,
7/12/2010,
7/27/2010,
8/10/2010,
9/13/2010,
9/16/2010,
9/26/2010,
10/30/2010,
11/14/2010,
11/15/2010,
11/21/2010,
12/16/2010,
1/3/2011,
1/16/2011,3
1/16/2011,
1/17/2011,
1/18/2011,
1/23/2011,
2/13/2011,
2/15/2011,
2/20/2011,
2/28/2011,
3/13/2011,
3/14/2011,
3/20/2011,
3/21/2011,
3/22/2011,
3/28/2011,
4/4/2011,
4/5/2011,
4/10/2011,
4/10/2011,
4/14/2011,
4/17/2011,
4/20/2011,
4/26/2011,
4/27/2011,
4/29/2011,
5/1/2011,
5/1/2011,
5/8/2011,
5/17/2011,
5/23/2011,
5/24/2011,
5/25/2011,
5/26/2011,
6/5/2011,4
6/6/2011,5
6/6/2011,
6/7/2011,13
6/7/2011,
6/7/2011,
6/7/2011,
6/11/2011,1
6/12/2011,
6/13/2011,8
6/14/2011,8
6/14/2011,
6/21/2011,
6/23/2011,13
7/11/2011,10
7/11/2011,
7/17/2011,11
7/17/2011,11
7/17/2011,8
7/19/2011,14
7/20/2011,14
7/24/2011,15
7/24/2011,12
7/25/2011,
7/28/2011,18
8/4/2011,18
8/7/2011,15
8/7/2011,17
8/9/2011,13
8/15/2011,29
8/21/2011,27
8/21/2011,29
8/23/2011,23
8/25/2011,27
8/27/2011,24
8/29/2011,41
8/30/2011,28
8/31/2011,26
8/31/2011,38
9/1/2011,29
9/1/2011,36
9/6/2011,29
9/11/2011,30
9/12/2011,26
9/12/2011,37
9/13/2011,24
9/14/2011,20
9/15/2011,23
9/18/2011,31
9/27/2011,19
9/27/2011,14
10/2/2011,14
10/2/2011,12
10/3/2011,14
10/4/2011,10
10/4/2011,17
10/5/2011,12
10/7/2011,15
10/9/2011,13
10/10/2011,14
10/10/2011,16
10/10/2011,10
10/11/2011,10
10/12/2011,9
10/14/2011,7
10/16/2011,13
10/17/2011,13
10/18/2011,8
10/21/2011,8
10/24/2011,6
10/25/2011,10
10/25/2011,9
10/31/2011,8
11/1/2011,6
11/2/2011,8
11/3/2011,13
11/5/2011,10
11/6/2011,11
11/8/2011,7
11/9/2011,14
11/10/2011,8
11/10/2011,8
11/13/2011,12
11/13/2011,6
11/14/2011,8
11/15/2011,7
11/15/2011,6
11/17/2011,6
11/17/2011,8
11/20/2011,11
11/20/2011,6
11/22/2011,5
11/27/2011,5
11/29/2011,5
11/30/2011,4
12/4/2011,3
12/5/2011,6
12/6/2011,9
12/7/2011,8
12/8/2011,6
12/11/2011,4
12/12/2011,6
12/12/2011,12
12/13/2011,6
12/13/2011,6
12/13/2011,5
12/18/2011,7
12/18/2011,7
12/18/2011,6
12/18/2011,7
12/18/2011,6
12/20/2011,5
12/23/2011,8
1/2/2012,7
1/3/2012,8
1/4/2012,4
1/7/2012,6
1/8/2012,6
1/8/2012,6
1/9/2012,7
1/10/2012,6
1/12/2012,9
1/12/2012,5
1/14/2012,6
1/15/2012,9
1/16/2012,5
1/17/2012,4
1/17/2012,7
1/17/2012,7
1/22/2012,
1/23/2012,
1/24/2012,
1/24/2012,
1/27/2012,
1/31/2012,
2/1/2012,
2/4/2012,
2/6/2012,
2/6/2012,
2/7/2012,
2/8/2012,
2/9/2012,
2/10/2012,
2/12/2012,
2/12/2012,
2/13/2012,
2/13/2012,
2/13/2012,
2/14/2012,
2/14/2012,
