COUNTYFP,borough,TRACTCE,GEOID,NAME,NAMELSAD,Tract number,Borough tract,neighborhood,CBD,Manhattan Core,south of 14th,ALAND,AWATER,uber_data_uber_count,green_data_green_data,yellow_data_yellow_count
5,Bronx,31000,36005031000,310,Census Tract 310,310,Bronx_310,Allerton-Pelham Gardens,0,0,0,634014,0,63,242,47
5,Bronx,31200,36005031200,312,Census Tract 312,312,Bronx_312,Allerton-Pelham Gardens,0,0,0,202061,0,33,224,13
5,Bronx,31400,36005031400,314,Census Tract 314,314,Bronx_314,Allerton-Pelham Gardens,0,0,0,211194,0,29,103,10
5,Bronx,31600,36005031600,316,Census Tract 316,316,Bronx_316,Allerton-Pelham Gardens,0,0,0,177170,0,31,29,4
5,Bronx,31800,36005031800,318,Census Tract 318,318,Bronx_318,Allerton-Pelham Gardens,0,0,0,178366,0,21,22,19
5,Bronx,32600,36005032600,326,Census Tract 326,326,Bronx_326,Allerton-Pelham Gardens,0,0,0,331185,0,33,151,37
5,Bronx,34200,36005034200,342,Census Tract 342,342,Bronx_342,Allerton-Pelham Gardens,0,0,0,156834,0,37,262,26
5,Bronx,34400,36005034400,344,Census Tract 344,344,Bronx_344,Allerton-Pelham Gardens,0,0,0,157012,0,29,240,19
5,Bronx,34800,36005034800,348,Census Tract 348,348,Bronx_348,Allerton-Pelham Gardens,0,0,0,437468,0,73,404,36
5,Bronx,35000,36005035000,350,Census Tract 350,350,Bronx_350,Allerton-Pelham Gardens,0,0,0,191626,0,25,102,10
5,Bronx,36000,36005036000,360,Census Tract 360,360,Bronx_360,Allerton-Pelham Gardens,0,0,0,266176,0,26,124,18
5,Bronx,23702,36005023702,237.02,Census Tract 237.02,237.02,Bronx_237.02,Bedford Park-Fordham North,0,0,0,47892,0,28,3234,49
5,Bronx,39901,36005039901,399.01,Census Tract 399.01,399.01,Bronx_399.01,Bedford Park-Fordham North,0,0,0,151654,0,51,5410,116
5,Bronx,39902,36005039902,399.02,Census Tract 399.02,399.02,Bronx_399.02,Bedford Park-Fordham North,0,0,0,121399,0,53,4063,89
5,Bronx,40100,36005040100,401,Census Tract 401,401,Bronx_401,Bedford Park-Fordham North,0,0,0,170429,0,44,5819,153
5,Bronx,40302,36005040302,403.02,Census Tract 403.02,403.02,Bronx_403.02,Bedford Park-Fordham North,0,0,0,62696,0,38,1516,35
5,Bronx,40501,36005040501,405.01,Census Tract 405.01,405.01,Bronx_405.01,Bedford Park-Fordham North,0,0,0,82860,0,33,339,25
5,Bronx,40502,36005040502,405.02,Census Tract 405.02,405.02,Bronx_405.02,Bedford Park-Fordham North,0,0,0,141217,0,50,684,42
5,Bronx,40702,36005040702,407.02,Census Tract 407.02,407.02,Bronx_407.02,Bedford Park-Fordham North,0,0,0,182164,0,51,2364,77
5,Bronx,41100,36005041100,411,Census Tract 411,411,Bronx_411,Bedford Park-Fordham North,0,0,0,121611,0,59,2988,74
5,Bronx,41300,36005041300,413,Census Tract 413,413,Bronx_413,Bedford Park-Fordham North,0,0,0,173358,0,109,1714,66
5,Bronx,41500,36005041500,415,Census Tract 415,415,Bronx_415,Bedford Park-Fordham North,0,0,0,135858,0,70,1328,45
5,Bronx,38700,36005038700,387,Census Tract 387,387,Bronx_387,Belmont,0,0,0,188318,0,323,5139,120
5,Bronx,38900,36005038900,389,Census Tract 389,389,Bronx_389,Belmont,0,0,0,170340,0,483,2664,109
5,Bronx,39100,36005039100,391,Census Tract 391,391,Bronx_391,Belmont,0,0,0,205723,0,404,2046,58
5,Bronx,39300,36005039300,393,Census Tract 393,393,Bronx_393,Belmont,0,0,0,181726,0,118,2641,75
5,Bronx,39700,36005039700,397,Census Tract 397,397,Bronx_397,Belmont,0,0,0,518181,0,466,9086,281
5,Bronx,32400,36005032400,324,Census Tract 324,324,Bronx_324,Bronxdale,0,0,0,268373,0,27,249,15
5,Bronx,32800,36005032800,328,Census Tract 328,328,Bronx_328,Bronxdale,0,0,0,204657,0,44,353,37
5,Bronx,33000,36005033000,330,Census Tract 330,330,Bronx_330,Bronxdale,0,0,0,206129,0,99,946,70
