GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC02,HC02_EST_VC01,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Total; Estimate; Households,Median income (dollars); Estimate; Households,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Population 5 years and over",Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone
7950000US3600100,3600100,"St. Lawrence County PUMA, New York",41299,45157,97.7,111963,104453,2864
7950000US3600200,3600200,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",65270,45793,N,174357,154898,7273
7950000US3600300,3600300,"Warren & Washington Counties PUMA, New York",51414,53562,N,128430,122173,3361
7950000US3600401,3600401,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",46432,47088,N,113478,110852,617
7950000US3600402,3600402,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",61887,40346,92.9,163298,131892,15120
7950000US3600403,3600403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",44001,49257,N,114517,108470,1731
7950000US3600500,3600500,"Jefferson & Lewis Counties PUMA, New York",52566,46583,N,146653,128656,5733
7950000US3600600,3600600,"Oswego County PUMA, New York",45327,46533,N,121165,115665,1213
7950000US3600701,3600701,"Onondaga County (Central)--Syracuse City PUMA, New York",55060,31683,92.9,144675,79566,42312
7950000US3600702,3600702,"Onondaga County (North) PUMA, New York",48493,65830,N,123872,114244,2773
7950000US3600703,3600703,"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",66226,59207,N,161911,146891,6111
7950000US3600704,3600704,"Cayuga & Onondaga (South) Counties PUMA, New York",45321,56491,N,117406,109441,3572
7950000US3600800,3600800,"Wayne & Seneca Counties PUMA, New York",48795,48901,N,127882,118078,4568
7950000US3600901,3600901,"Monroe County (East) PUMA, New York",53015,62924,96.4,132373,116407,7509
7950000US3600902,3600902,"Monroe County (Central)--Rochester City (East) PUMA, New York",46611,31561,89.9,110792,55180,39250
7950000US3600903,3600903,"Monroe County (Central)--Rochester City (West) PUMA, New York",39871,28721,N,100456,40890,46989
7950000US3600904,3600904,"Monroe County (Central)--Greece & Gates Towns PUMA, New York",51700,52082,95.5,125442,107520,9874
7950000US3600905,3600905,"Monroe County (North & West) PUMA, New York",37805,63407,N,105811,95428,6037
7950000US3600906,3600906,"Monroe County (South) PUMA, New York",69312,69393,97.6,174732,149157,7761
7950000US3601000,3601000,"Genesee & Orleans Counties PUMA, New York",39198,41316,N,101689,93180,4721
7950000US3601101,3601101,"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",45036,41034,N,106444,88673,13218
7950000US3601102,3601102,"Niagara County (North & East) PUMA, New York",42934,52783,N,107805,100256,2613
7950000US3601201,3601201,"Erie County (Northwest) PUMA, New York",47620,55487,N,108352,101805,2610
7950000US3601202,3601202,"Erie County (North Central) PUMA, New York",47392,68277,95.9,123744,101998,8184
7950000US3601203,3601203,"Erie County (Northeast) PUMA, New York",42784,72262,N,108057,102287,1646
7950000US3601204,3601204,"Erie County (Central) PUMA, New York",67980,47243,97.6,151302,133082,11870
7950000US3601205,3601205,"Erie County (West Central)--Buffalo City (East) PUMA, New York",61163,28873,96.8,141999,55798,75181
7950000US3601206,3601206,"Erie County (West Central)--Buffalo City (West) PUMA, New York",48348,38599,90.3,116946,67400,21067
7950000US3601207,3601207,"Erie County (South) PUMA, New York",66640,61057,N,169466,160103,2180
7950000US3601300,3601300,"Livingston & Wyoming Counties PUMA, New York",39270,52335,N,106236,98541,4054
7950000US3601400,3601400,"Ontario & Yates Counties PUMA, New York",52918,56515,N,134259,126420,2543
7950000US3601500,3601500,"Madison & Cortland Counties PUMA, New York",45460,51167,N,121358,115922,2366
7950000US3601600,3601600,"Fulton & Montgomery Counties PUMA, New York",41579,44574,97.4,104483,96394,1264
7950000US3601700,3601700,"Schenectady County--Schenectady City PUMA, New York",57526,54293,94.7,155333,122286,17179
7950000US3601801,3601801,"Saratoga County (South & Central) PUMA, New York",45515,74954,N,111362,103118,1615
7950000US3601802,3601802,"Saratoga County (Outer) PUMA, New York",44882,66696,N,112503,107103,2488
7950000US3601900,3601900,"Rensselaer County--Troy City PUMA, New York",63981,57438,N,159918,139003,9468
7950000US3602001,3602001,"Albany County (East Central)--Albany City PUMA, New York",45582,37454,94.8,106509,63960,28461
