geoid,median_income,total_households,nonwhite_share,total_pop,black_pop,black_share,pct_speak_eng_less_well,median_age,share_24_44
3.61E+10,NA,0,NaN,0,0,NaN,NA,NA,0
3.61E+10,123056,2818,30.0426,5166,205,3.96825,9.1,32.2,65.1
3.60E+10,86210,2106,23.3839,4610,309,6.70282,3.8,43.4,36.1
3.60E+10,NA,0,85.192,9191,5491,59.7432,31.4,29.5,47.7
3.61E+10,56750,925,63.6102,3130,177,5.65495,26.7,33.7,34
3.60E+10,33906,371,68.7965,1612,166,10.2978,52.6,29.2,40.9
3.60E+10,69514,1347,72.1696,4858,1566,32.2355,26.4,34.5,27.3
3.61E+10,19333,940,76.0977,2824,236,8.35694,47.1,39.8,29.6
3.61E+10,26355,3338,52.4214,8012,1089,13.5921,26.5,45.2,24.6
3.61E+10,55909,842,47.6829,1640,324,19.7561,10.7,42.8,34.1
3.60E+10,109375,1946,19.6725,4214,433,10.2753,1.2,40.6,38.8
3.61E+10,60938,1338,66.9557,5075,536,10.5616,24,33.9,32.5
3.60E+10,73036,1753,74.9439,5344,1633,30.5576,14.3,35.2,30.3
3.61E+10,NA,0,NaN,0,0,NaN,NA,NA,0
3.60E+10,98073,1781,21.2045,4400,299,6.79545,8.1,32.7,32.9
3.60E+10,92219,1439,18.0495,2543,134,5.26937,2.5,36.4,47.8
3.61E+10,37781,1155,18.3049,2289,157,6.85889,24.4,47.5,26.2
3.61E+10,19643,3912,89.0812,11558,1084,9.37879,51.1,43.9,25.4
3.61E+10,59000,1024,66.3857,3796,450,11.8546,31.3,32.1,30.4
3.61E+10,40134,2189,72.99,5224,2726,52.1822,12.1,31.7,32
3.61E+10,122648,4225,28.2569,7722,273,3.53535,3.7,28.5,70.6
3.61E+10,77475,2698,24.9401,5008,186,3.71406,16.1,36,52
3.60E+10,136515,1900,10.1124,3827,112,2.92657,3.2,35.8,45.9
3.61E+10,75545,2048,27.3268,5888,237,4.02514,20,37.9,27.2
3.61E+10,24965,3830,92.494,10365,260,2.50844,60.5,42,30.5
3.61E+10,61159,1011,46.6581,3875,150,3.87097,32,29.4,33.4
3.61E+10,60817,697,66.6991,2057,998,48.5173,9.9,32.6,32.8
3.61E+10,165313,507,19.8246,1140,50,4.38596,2.3,33.8,55
3.60E+10,115952,2050,23.8796,4351,252,5.79177,2.9,33,54.1
3.61E+10,63102,987,60.2656,3614,373,10.321,27.3,31.5,28.7
3.61E+10,84130,760,23.2704,1749,72,4.11664,5.4,42.4,29.9
