COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,uber_data_uber_count,green_data_green_data,yellow_data_yellow_count
61,100,36061000100,1,Census Tract 1,78638,0,0,0,2
81,100,36081000100,1,Census Tract 1,1139850,172725,8780,37101,31056
47,100,36047000100,1,Census Tract 1,207812,0,4544,26489,19482
5,100,36005000100,1,Census Tract 1,1677210,1035011,0,0,101
81,200,36081000200,2,Census Tract 2,156595,0,42,87,23
47,200,36047000200,2,Census Tract 2,276929,0,960,797,467
5,200,36005000200,2,Census Tract 2,479463,852046,40,90,37
61,201,36061000201,2.01,Census Tract 2.01,90233,75976,1611,1,3941
61,202,36061000202,2.02,Census Tract 2.02,310039,428737,1840,8,7022
85,300,36085000300,3,Census Tract 3,530391,1969350,38,303,34
47,301,36047000301,3.01,Census Tract 3.01,201000,0,4131,7959,9244
81,400,36081000400,4,Census Tract 4,224878,0,67,146,53
5,400,36005000400,4,Census Tract 4,771880,688701,79,248,79
61,500,36061000500,5,Census Tract 5,843918,3393360,22,8,530
47,501,36047000501,5.01,Census Tract 5.01,83724,0,2850,10102,10807
47,502,36047000502,5.02,Census Tract 5.02,96799,0,2424,17847,28411
85,600,36085000600,6,Census Tract 6,1046778,1757917,36,13,18
61,600,36061000600,6,Census Tract 6,240495,176810,4036,14,28839
81,600,36081000600,6,Census Tract 6,214286,0,49,73,56
85,700,36085000700,7,Census Tract 7,528116,638941,29,16,12
61,700,36061000700,7,Census Tract 7,256720,242749,30562,10,394754
81,700,36081000700,7,Census Tract 7,545147,0,6235,42318,62422
47,700,36047000700,7,Census Tract 7,176776,0,5465,18842,24448
85,800,36085000800,8,Census Tract 8,799851,0,89,5,17
61,800,36061000800,8,Census Tract 8,220615,167114,3768,247,28117
81,800,36081000800,8,Census Tract 8,189824,0,46,43,29
85,900,36085000900,9,Census Tract 9,231877,0,12,5,2
61,900,36061000900,9,Census Tract 9,315105,460146,20895,27,316128
47,900,36047000900,9,Census Tract 9,163469,0,5388,61665,39184
81,1000,36081001000,10,Census Tract 10,161256,0,38,118,37
61,1001,36061001001,10.01,Census Tract 10.01,80145,244297,705,925,5129
61,1002,36061001002,10.02,Census Tract 10.02,199683,245138,569,41,6586
85,1100,36085001100,11,Census Tract 11,325090,0,4,10,2
47,1100,36047001100,11,Census Tract 11,168507,0,5051,56739,34005
61,1200,36061001200,12,Census Tract 12,120597,0,1751,2,11288
81,1200,36081001200,12,Census Tract 12,227157,0,76,163,61
61,1300,36061001300,13,Census Tract 13,312731,0,21947,11,374919
47,1300,36047001300,13,Census Tract 13,293169,0,1514,15699,35960
81,1400,36081001400,14,Census Tract 14,213714,0,64,345,129
61,1401,36061001401,14.01,Census Tract 14.01,93510,0,2430,2,15551
61,1402,36061001402,14.02,Census Tract 14.02,113920,0,4011,18,78100
47,1500,36047001500,15,Census Tract 15,306487,0,9422,25548,59387
61,1501,36061001501,15.01,Census Tract 15.01,257851,175058,19875,259,173094
61,1502,36061001502,15.02,Census Tract 15.02,207277,146802,21491,19,278322
81,1600,36081001600,16,Census Tract 16,151499,0,35,100,28
61,1600,36061001600,16,Census Tract 16,207377,0,10931,20,151642
5,1600,36005001600,16,Census Tract 16,485079,0,64,772,61
85,1700,36085001700,17,Census Tract 17,303567,0,4,3,3
81,1800,36081001800,18,Census Tract 18,177489,0,33,304,112
47,1800,36047001800,18,Census Tract 18,2020127,4743322,1605,1217,1345
85,1800,36085001800,18,Census Tract 18,909772,1451437,9,5,46
61,1800,36061001800,18,Census Tract 18,222968,0,27851,46,573598
81,1900,36081001900,19,Census Tract 19,867933,0,8845,49178,50914
5,1900,36005001900,19,Census Tract 19,1668015,1143135,593,2852,4898
81,2000,36081002000,20,Census Tract 20,146397,0,67,429,356
47,2000,36047002000,20,Census Tract 20,154138,0,174,131,179
61,2000,36061002000,20,Census Tract 20,126283,137883,419,4,12101
5,2000,36005002000,20,Census Tract 20,395564,0,61,400,39
85,2001,36085002001,20.01,Census Tract 20.01,513526,0,12,4,24
85,2002,36085002002,20.02,Census Tract 20.02,772048,0,35,10,36
85,2100,36085002100,21,Census Tract 21,1246788,1547020,16,29,22
61,2100,36061002100,21,Census Tract 21,236794,0,31500,15,426018
47,2100,36047002100,21,Census Tract 21,528163,39281,20258,122135,55605
81,2200,36081002200,22,Census Tract 22,147490,0,56,392,266
47,2200,36047002200,22,Census Tract 22,340046,0,431,273,228
61,2201,36061002201,22.01,Census Tract 22.01,161667,0,5704,5,32597
61,2202,36061002202,22.02,Census Tract 22.02,56112,0,4878,5,70976
47,2300,36047002300,23,Census Tract 23,182214,0,490,3267,3177
5,2300,36005002300,23,Census Tract 23,104645,0,72,2576,738
81,2400,36081002400,24,Census Tract 24,141901,0,92,64,30
61,2400,36061002400,24,Census Tract 24,182345,470253,369,2,2318
5,2400,36005002400,24,Census Tract 24,675911,263388,6,174,37
61,2500,36061002500,25,Census Tract 25,131517,94115,342,16,7754
81,2500,36081002500,25,Census Tract 25,210427,0,169,6855,11241
5,2500,36005002500,25,Census Tract 25,127492,0,85,2546,325
81,2600,36081002600,26,Census Tract 26,148030,0,115,117,28
61,2601,36061002601,26.01,Census Tract 26.01,106047,0,5665,4,44925
61,2602,36061002602,26.02,Census Tract 26.02,103692,0,8837,5,76421
85,2700,36085002700,27,Census Tract 27,250358,0,18,2,8
61,2700,36061002700,27,Census Tract 27,59282,0,853,0,19730
5,2701,36005002701,27.01,Census Tract 27.01,82641,0,21,698,99
5,2702,36005002702,27.02,Census Tract 27.02,155504,0,47,2420,338
81,2800,36081002800,28,Census Tract 28,225043,0,21,98,41
61,2800,36061002800,28,Census Tract 28,183616,0,8353,10,84904
5,2800,36005002800,28,Census Tract 28,414588,24677,72,760,176
85,2900,36085002900,29,Census Tract 29,526903,0,16,2,6
61,2900,36061002900,29,Census Tract 29,273357,0,7736,17,141859
47,2901,36047002901,29.01,Census Tract 29.01,109260,0,143,3119,1745
81,3000,36081003000,30,Census Tract 30,112790,0,37,78,69
47,3000,36047003000,30,Census Tract 30,110188,0,105,26,54
61,3001,36061003001,30.01,Census Tract 30.01,124153,0,25431,39,427842
61,3002,36061003002,30.02,Census Tract 30.02,78525,0,7732,15,231138
81,3100,36081003100,31,Census Tract 31,164962,0,1436,5563,13775
47,3100,36047003100,31,Census Tract 31,287081,0,1845,12921,10872
5,3100,36005003100,31,Census Tract 31,154703,0,28,691,85
61,3100,36061003100,31,Census Tract 31,204969,0,12876,20,189305
61,3200,36061003200,32,Census Tract 32,217682,0,22214,21,457607
81,3200,36081003200,32,Census Tract 32,161964,0,16,105,38
85,3300,36085003300,33,Census Tract 33,854273,0,17,3,4
47,3300,36047003300,33,Census Tract 33,164582,0,3815,34378,27351
5,3300,36005003300,33,Census Tract 33,150723,0,46,592,97
81,3300,36081003300,33,Census Tract 33,509003,0,2167,24520,152735
61,3300,36061003300,33,Census Tract 33,341677,0,51738,22,581254
81,3400,36081003400,34,Census Tract 34,213987,0,81,145,75
