"geoid","total"
"36081025302",924
"36047027000",2
"36047054800",1
"36047026600",1
"36005002500",536
"36047049600",96
"36047075000",6
"36059410000",6
"36081024700",303
"36047096600",14
"36081043200",6
"36061014601",2
"36047036002",4
"36047001800",140
"36047021100",525
"36005030200",34
"36081058700",19
"36047057000",14
"36005024501",354
"36047059600",27
"36047004500",5084
"36005005902",756
"36119002105",1
"36047004100",1960
"36005033600",216
"36061014401",1
"36005000400",43
"36047118000",6
"36081069702",93
"36047036100",51
"36047016000",54
"36061020701",3248
"36081024500",182
"36081049500",14
"36047095800",14
"36061014000",3
"36081042600",3
"36047007100",249
"36061013800",1
"36061011402",2
"36005040502",131
"36081021200",1329
"36061019500",2679
"36081072300",71
"36081009100",203
"36047049700",2509
"36061017100",10
"36047035200",19
"36081047600",6
"36047028800",3
"36047015300",2000
"36081029300",348
"36081030600",58
"36081103300",2
"36005013300",371
"36081133300",16
"36085013302",1
"36081032700",881
"36005036901",178
"36061014300",10258
"36081020600",31
"36047035000",89
"36005015200",63
"36047005100",422
"36047005300",855
"36047093200",16
"36061013600",8
"36047050100",4574
"36047091000",31
"36047073000",8
"36081011300",1680
"36047083000",48
"36119006400",4
"36047024500",1567
"36081024300",227
"36081029900",404
"36081000200",11
"36081098100",3
"36047024900",1289
"36047078600",227
"36005012901",485
"36047045600",38
"36047036300",128
"36047039700",317
"36047052600",164
"36061028100",143
"36061011100",1
"36047045200",4
"36081081400",29
"36081144100",3
"36081107201",1
"36081063000",3
"36119007200",2
"36081008100",126
"36081025700",296
"36005007000",178
"36103158112",2
"36081152901",6
"36061001600",2
"36081122300",2
"36081086500",80
"36061016700",2
"36047057500",2521
"36005043100",578
"36081007300",956
"36047025400",4
"36081006501",1411
"36005022902",60
"36047017500",52
"36081093900",7
"36047019800",3
"36047053400",34
"36081044602",114
"36047062600",15
"36081109700",3
"36005029600",989
"36081065703",32
"36061001300",1
"36047118600",6
"36059413804",3
"36047001100",10269
"36061022301",5024
"36005014400",39
"36047064400",4
"36061019100",8
"36081069000",2
"36061001401",1
"36081113900",6
"36005017902",433
"36047013300",3068
"36005036100",472
"36081023800",166
"36061011401",3
"36081121100",2
"36005020601",280
"36047117201",2
"36047049000",54
"36047089400",32
"36047018501",669
"36047037000",334
"36047000200",89
"36005023704",476
"36087013401",1
"36047007700",2132
"36047001500",4095
"36081041100",285
"36047022700",3104
"36047040300",173
"36081002800",12
"36081008700",151
"36119006500",3
"36081099900",1
"36081062900",22
"36119001200",1
"36005034500",49
"36005029700",28
"36061015100",2
"36081075701",1285
"36059405400",2
"36061004400",1
"36047089800",8
"36005034400",51
"36081093401",1
"36119000801",2
"36059405301",2
"36061017300",3
"36047025800",4
"36119001301",2
"36081119900",2
"36005027402",2
"36047028502",193
"36047034000",15
"36047087000",16
"36005022901",294
"36081027600",7
"36005039400",66
"36061012900",2
"36061001800",7
"36047101000",4
"36005004200",645
"36005038200",21
"36061026700",71
"36061005200",3
"36061022000",4941
"36081099802",3
"36061008200",1
"36005005001",52
"36081074100",137
"36061009400",5
"36047117202",4
"36081140902",8
"36085000800",2
"36081091900",43
"36047057800",17
"36119009702",5
"36005024100",760
"36059300500",1
"36047099800",7
"36005011900",491
"36081033100",347
"36081071702",2713
"36005022401",444
"36081067700",7
"36005036700",32
"36047018200",1
"36081019800",17
"36061010800",1
"36047053200",20
"36081046600",41
"36005040600",29
"36119000702",2
"36005037900",576
"36047000301",1033
"36047060800",98
"36081013500",193
"36081040500",2542
"36081000600",8
"36081027400",1
"36047010800",5
"36119006900",2
"36047028200",4
"36005017500",360
"36081056600",7
"36081077902",58
"36081010500",88
"36081046200",34
"36061014200",8
"36061008900",1
"36005019900",890
"36081046100",350
"36081004500",844
"36081015000",32
"36081008300",569
"36047050000",66
"36047088600",19
"36061027900",2491
"36005023900",963
"36005018101",268
"36119008302",2
"36047084800",6
"36085001100",1
"36119001600",5
"36005005600",51
"36081117100",44
"36061013100",5
"36005018302",958
"36081066000",2
"36005023800",333
"36005037100",302
"36103111900",2
"36081054200",21
"36081035200",10
"36047017700",1324
"36081006100",4517
"36081021400",314
"36081115900",2
"36047003500",8214
"36047117800",6
"36047053800",7
"36047051800",49
"36005012101",106
"36081002000",67
"36081145102",1
"36119003100",3
"36047041900",79
"36061018400",4333
"36047019700",1573
"36081052600",2
"36081025500",692
"36081059100",40
"36005030000",315
"36047086200",15
"36047065600",1
"36047080600",53
"36081036700",66
"36081035100",242
"36061006800",2
"36061027700",621
"36005048400",36
"36081024600",102
"36047055000",9
"36047068800",5
"36005025200",85
"36005014100",1011
"36081053100",79
"36047004700",609
"36047027800",3
"36005011700",95
"36061021100",8667
"36005039200",72
"36047018000",3
"36081061900",25
"36005021900",660
"36047082800",77
"36047012700",668
"36047049800",45
"36081077903",43
"36047012801",3
"36081021600",7386
"36047118800",30
"36047004400",2
"36081065600",3
"36081016300",588
"36081026500",7375
"36005046000",60
"36081077907",14
"36119004200",4
"36061012000",2
"36047004900",553
"36047041500",77
"36081049302",165
"36047021700",1135
"36005022703",604
"36081046000",132
"36081060300",46
"36061023802",140
"36005030701",27
"36061026100",1330
"36005016000",24
"36005023501",794
"36047041700",44
"36047006800",55
"36047119400",11
"36081015700",7463
"36047027700",411
"36005025000",41
"36081047800",42
"36081065702",12
"36047014500",433
"36081019200",9
"36005005002",339
"36081011600",8
"36081063302",5
"36081115500",16
"36047021800",1
"36081033000",4
"36085030302",9
"36081056700",2
"36047100600",7
"36047021400",3
"36005007600",422
"36005024502",287
"36061021500",1966
"36047102600",5
"36047020300",1296
"36047040900",33
"36005023702",739
"36047100800",5
"36047023300",1425
"36047039200",11
"36081089200",8
"36081071100",15802
"36005024900",157
"36005024800",104
"36061023300",3560
"36081063200",1
"36081015100",219
"36047002901",446
"36005020900",552
"36081003900",172
"36005045101",37
"36081060800",3
"36061019600",16850
"36047096000",4
"36027050203",1
"36047029600",12
"36081139900",4
"36081088901",25
"36047079801",263
"36081037900",285
"36081053401",10
"36081040300",723
"36061014802",9
"36081099701",3
"36047084600",11
"36047013800",37
"36061010400",2
"36081050202",1
"36081005200",5
"36005033202",132
"36047035900",95
"36081044301",88
"36005011000",22
"36081020400",73
"36081018501",139
"36047030100",169
"36061014900",4
"36081066400",17
"36047033500",60
"36061012800",1
"36061007500",1
"36081051700",92
"36047091200",36
"36047098800",6
"36047013900",1371
"36047025700",417
"36081041400",10
"36061006400",2
"36047008200",61
"36047019600",1
"36005036902",64
"36005015300",238
"36047018400",1
"36005013500",132
"36119002401",1
"36005011800",16
"36047044200",6
"36005021301",151
"36005014900",310
"36047094402",1
"36081064101",16
"36061023801",357
"36047004600",3
"36047041100",45
"36081008500",307
"36047022400",10
"36081005700",2515
"36081010300",277
"36081046500",1748
"36047114202",3
"36081073100",100
"36061027300",1301
"36047038800",8
"36047032700",529
"36047052900",585
"36081112900",37
"36047112200",21
"36005036502",131
"36119001303",10
"36047018100",2874
"36081005500",602
"36061016300",2
"36005003900",1769
"36081003000",11
"36081116100",32
"36047064000",3
"36047115600",39
"36047025901",271
"36047011000",21
"36081071900",73
"36081032800",1
"36061009900",13
"36047041401",5
"36047065200",20
"36005028500",262
"36081048000",12
"36081120300",5
"36061024000",135
"36047015700",1554
"36081046700",360
"36047019200",3
"36005043600",3
"36081017400",18
"36081054900",91
"36081050000",23
"36081053000",4
"36119009800",1
"36081064102",65
"36061013700",1
"36047026500",345
"36047051500",1655
"36081049301",94
"36047011900",3220
"36081050700",26
"36047044000",7
"36005021800",298
"36081063800",7
"36047043200",9
"36081030903",983
"36061011300",4
"36047082000",123
"36047075800",3
"36085001800",2
"36047044900",941
"36047119600",269
