"geoid","total"
"36081025302",1108
"36047027000",3
"36047054800",2
"36047026600",3
"36005002500",402
"36047049600",123
"36047075000",17
"36081024700",414
"36047096600",11
"36081043200",7
"36047036002",12
"36047001800",175
"36047021100",534
"36059302101",1
"36005030200",26
"36081058700",19
"36119010400",2
"36047057000",12
"36005024501",203
"36047059600",21
"36047004500",5380
"36005005902",480
"36047004100",2455
"36005033600",109
"36061014401",2
"36005000400",41
"36047118000",8
"36081069702",72
"36047036100",58
"36059519100",1
"36047016000",81
"36061020701",2584
"36081024500",230
"36081049500",23
"36047095800",11
"36061014000",2
"36081042600",1
"36047007100",321
"36061013800",2
"36005040502",92
"36081021200",1015
"36061019500",2530
"36081072300",89
"36081094202",3
"36081009100",238
"36047049700",2909
"36061017100",1
"36047035200",133
"36081047600",4
"36047028800",1
"36047015300",2760
"36081029300",440
"36081030600",48
"36081103300",2
"36005013300",209
"36081133300",21
"36085013302",2
"36081032700",1008
"36005036901",85
"36061014300",11141
"36081020600",25
"36047035000",232
"36059405700",1
"36005015200",49
"36047005100",694
"36047005300",2171
"36047093200",21
"36047050100",6334
"36047091000",26
"36047073000",17
"36081011300",1695
"36047083000",47
"36047024500",1975
"36081024300",226
"36081029900",567
"36081000200",10
"36081098100",3
"36047024900",1524
"36047078600",276
"36005012901",286
"36047045600",31
"36047036300",102
"36047039700",311
"36047052600",241
"36085031902",20
"36061028100",151
"36061011100",1
"36047045200",3
"36081081400",20
"36059304100",1
"36081144100",5
"36081107201",3
"36081063000",3
"36081008100",134
"36081025700",430
"36005007000",128
"36081152901",10
"36061001600",2
"36081122300",13
"36081086500",94
"36047057500",3600
"36005043100",420
"36081007300",956
"36047025400",4
"36081006501",1509
"36005022902",57
"36047017500",86
"36085031901",15
"36081093900",6
"36047019800",3
"36047053400",39
"36081044602",130
"36047062600",12
"36081109700",12
"36005029600",843
"36081065703",14
"36047118600",7
"36047001100",10040
"36061022301",4782
"36005014400",36
"36047064400",12
"36061019100",1
"36081069000",13
"36081113900",12
"36005017902",236
"36047013300",3471
"36005036100",366
"36081023800",191
"36081121100",2
"36005020601",228
"36047117201",2
"36047049000",85
"36047089400",23
"36059411301",3
"36047018501",776
"36047037000",295
"36047000200",122
"36005023704",293
"36047007700",3080
"36047001500",4685
"36081041100",311
"36047022700",3781
"36047040300",124
"36081002800",12
"36081008700",115
"36081099900",2
"36081062900",10
"36119001200",1
"36005034500",60
"36005029700",42
"36081075701",1850
"36059405400",2
"36047089800",17
"36005034400",38
"36081093401",1
"36061017300",1
"36047025800",5
"36119001301",2
"36081119900",4
"36005027402",7
"36047028502",231
"36047034000",14
"36047023800",4
"36047087000",16
"36005022901",186
"36081027600",5
"36005039400",42
"36061012900",1
"36061001800",4
"36047101000",3
"36005004200",361
"36005038200",13
"36061026700",45
"36061022000",5373
"36119000402",2
"36103159511",1
"36005005001",35
"36081074100",162
"36061009400",1
"36047117202",6
"36081140902",6
"36085000800",2
"36081091900",45
"36047057800",13
"36119009702",2
"36005024100",380
"36119004300",2
"36047099800",9
"36005011900",294
"36081033100",318
"36081071702",3093
"36005022401",327
"36081067700",7
"36005036700",15
"36047018200",2
"36081019800",13
"36047053200",27
"36081046600",62
"36119000702",1
"36005040600",18
"36005037900",409
"36059304002",1
"36047000301",1453
"36047060800",128
"36081013500",226
"36081040500",1964
"36081000600",12
"36081027400",2
"36047010800",6
"36047028200",1
"36005017500",216
"36119008602",2
"36081056600",7
"36081046200",42
"36081077902",51
"36081010500",92
"36005019900",635
"36081046100",376
"36081004500",975
"36081015000",9
"36081008300",721
"36047050000",128
"36047088600",20
"36059407900",1
"36061027900",2493
"36005023900",522
"36005018101",204
"36047084800",6
"36085001100",3
"36119001600",4
"36005005600",40
"36081117100",39
"36061013100",1
"36005018302",684
"36005023800",257
"36005037100",156
"36103111900",1
"36081054200",19
"36085020100",5
"36081035200",4
"36047017700",1805
"36081006100",4182
"36081021400",485
"36081115900",3
"36047003500",10557
"36059300300",1
"36047117800",11
"36047053800",12
"36047051800",83
"36005012101",73
"36081002000",60
"36081145102",3
"36119003100",1
"36047041900",95
"36061018400",4211
"36047019700",2273
"36081052600",1
"36081025500",722
"36081059100",41
"36005030000",437
"36047086200",21
"36047080600",88
"36081035100",327
"36081036700",43
"36061006800",1
"36061027700",591
"36005048400",27
"36081024600",86
"36047055000",7
"36047068800",3
"36005025200",61
"36085013201",1
"36005014100",796
"36081053100",59
"36047004700",886
"36047027800",5
"36005011700",64
"36061021100",7807
"36047018000",4
"36005039200",27
"36081061900",11
"36005021900",442
"36047082800",68
"36047012700",831
"36047049800",82
"36081077903",49
"36047012801",7
"36081021600",8115
"36047118800",31
"36047004400",5
"36081065600",5
"36081016300",743
"36081026500",5993
"36005046000",17
"36081077907",21
"36047004900",764
"36047041500",65
"36081049302",207
"36047021700",1670
"36005022703",359
"36081046000",113
"36081060300",44
"36061023802",149
"36005030701",26
"36061026100",988
"36005016000",11
"36005023501",411
"36047041700",29
"36059404500",1
"36081091601",1
"36047006800",57
"36047119400",6
"36081015700",7209
"36047027700",447
"36005025000",71
"36081047800",21
"36081065702",10
"36047014500",698
"36081019200",9
"36005005002",198
"36081011600",4
"36081063302",6
"36081115500",10
"36047021800",7
"36081033000",6
"36085030302",33
"36081056700",10
"36047100600",3
"36047021400",1
"36005007600",278
"36005024502",197
"36061021500",2048
"36047102600",7
"36047020300",1492
"36047040900",17
"36005023702",441
"36047100800",7
"36047023300",2086
"36047039200",10
"36081089200",6
"36081071100",17142
"36005024800",92
"36005024900",123
"36061023300",3515
"36081063200",1
"36081015100",284
"36047002901",485
"36005020900",361
"36085002100",4
"36081003900",161
"36005045101",39
"36081060800",1
"36061019600",14604
"36047096000",16
"36047029600",17
"36059413500",2
"36081139900",8
"36081088901",38
"36047079801",360
"36081037900",293
"36081053401",4
"36081040300",635
"36061014802",1
"36081099701",10
"36047084600",6
"36047013800",48
"36061010400",1
"36081005200",8
"36005033202",66
"36047035900",104
"36081044301",62
"36005011000",31
"36081020400",40
"36047030100",194
"36081018501",117
"36061014900",1
"36081066400",12
"36047033500",90
"36081051700",94
"36047091200",32
"36047098800",5
"36047013900",1854
"36047025700",485
"36081041400",4
"36047008200",90
"36047019600",10
"36005036902",39
"36081053800",5
"36005015300",152
"36061015900",2
"36047018400",1
"36005013500",103
"36119002401",2
"36005011800",12
"36047044200",6
"36005021301",100
"36005014900",218
"36081061400",1
"36047094402",7
"36081064101",4
"36061023801",327
"36047004600",5
"36047041100",28
"36081008500",354
"36047022400",10
"36081005700",2766
"36081010300",321
"36081046500",1538
"36047114202",2
"36081073100",80
"36061027300",1204
"36047042800",6
"36047038800",1
"36047032700",854
"36047052900",666
"36081112900",67
"36047112200",9
"36005036502",100
"36119001303",11
"36047018100",3578
"36081005500",663
"36061016300",1
"36005003900",1149
"36081003000",16
"36081116100",36
"36047064000",2
"36047115600",24
"36047025901",284
"36047011000",28
"36081071900",57
"36081062400",1
"36081032800",4
"36047041401",11
"36061009900",2
"36047065200",6
"36005028500",300
"36081048000",18
"36081120300",3
"36061024000",103
"36047015700",2354
"36081046700",342
"36047019200",12
"36005043600",1
"36081017400",14
"36081054900",121
"36081050000",9
"36119009800",1
"36081064102",66
"36061013700",2
"36047026500",386
"36047051500",1752
"36119001700",4
"36081049301",66
"36047011900",3658
"36081050700",19
"36047044000",5
"36005021800",206
"36047043200",6
"36081030903",1065
"36047082000",148
"36047075800",3
"36085001800",1
"36119010600",3
"36047044900",930
"36047119600",91
"36081051300",40
"36061022400",4474
"36059410400",8
"36081097204",5
"36061020101",3705
"36081027800",6
"36047022600",16
"36081044000",16
"36059407301",15
"36047109800",24
"36047040500",58
"36047033600",47
"36047030000",8
"36047102200",7
"36047116600",8
"36081017200",16
"36047000502",3004
"36061001002",5
"36081155102",17
"36047027500",531
"36005004600",51
"36047043700",73
"36081071306",593
"36047096400",19
"36047080800",105
"36047025902",71
"36047012000",32
"36081052500",25
"36047020000",1
"36047007600",64
"36005042100",1745
"36005037400",74
"36047079602",425
"36047032500",549
"36047029300",217
"36059409800",4
"36081068200",1
"36081016400",8
"36081010400",9
"36119006100",1
"36081039800",5
"36047094401",21
"36005038500",336
"36005006400",107
"36005002800",96
"36061015200",101
"36047059800",16
"36085014100",1
"36047055300",23024
"36081029400",35
"36047049200",168
"36081129102",6
"36047079400",254
"36081011000",10
"36081120500",17
"36061015002",1
"36081071701",3993
"36047107800",8
"36005042600",15
"36061029300",1565
"36047033000",191
"36061007900",1
"36047033700",247
"36081047000",21
"36081060701",14
"36005004300",635
"36081032900",346
"36047019000",10
"36047051200",117
"36005014701",258
"36047078800",72
"36081011500",8879
"36081015801",12
"36081038302",6015
"36005019400",107
"36059412302",1
"36081080301",129
"36005038302",351
"36047036001",6
"36047056500",5853
"36059405200",2
"36047081000",50
"36005016100",234
"36081146300",15
"36119003500",1
"36061021900",3925
"36119007100",1
"36119005701",4
"36047035500",106
"36081147900",3
"36081073700",4326
"36047079802",710
"36047019100",3428
"36081056400",5
"36061015802",4682
"36005037200",19
"36047066200",10
"36005040303",223
"36047006000",70
"36047037300",175
"36061019900",13977
"36047026200",1
"36081017000",11
"36081157102",1
"36081076901",272
"36047033100",64
"36081019900",560
"36081045000",48
"36081014400",223
"36081058300",30
"36081054000",11
"36085007000",1
"36081056500",3
"36085022600",3
"36047005900",646
"36047080400",136
"36047034100",243
"36081002400",9
"36119000300",2
"36059414301",3
"36081137700",10
"36081161700",3
"36081047500",626
"36059404800",5
"36005027300",342
"36005007700",150
"36085027302",1
"36059410900",10
"36081059400",2
"36085023900",9
"36047027100",924
"36047030700",224
"36005018301",633
"36081157903",4
"36081045200",21
"36081074500",243
"36005005400",282
"36047039900",177
"36081079200",27
"36047026900",1230
"36047051400",197
"36119009400",3
"36061008400",1
"36005038800",2
"36061003900",2
"36047045400",7
"36005043000",4
"36081050500",23
"36005022000",677
"36047059200",27
"36005038700",802
"36047036700",146
"36059411600",3
"36005026601",61
"36005032400",33
"36081066701",24
"36061014602",1
"36085021300",1
"36047017200",4
"36047005800",20
"36047029900",269
"36081084900",117
"36081039900",462
"36081026600",3
"36005025300",358
"36005039700",1267
"36061024302",557
"36061027100",3805
"36005041400",18
"36061029700",385
"36059518400",1
"36081081800",14
"36047093600",6
"36005022403",272
"36061023400",1370
"36047002200",45
"36005016300",70
"36047083400",17
"36047021900",1662
"36081001200",21
"36119007000",1
"36081013000",35
"36119011102",1
"36081045800",36
"36081026000",4
"36081018402",4
"36047037900",266
"36005045102",5
"36081003100",983
"36047054500",235
"36061029900",655
"36081044400",56
"36047085600",33
"36081134700",30
"36119001102",2
"36047007200",24
"36005022200",689
"36005035800",43
"36081066501",13
"36005040702",306
"36081108500",8
"36047021300",651
"36081012601",24
"36061003601",1
"36081119300",2
"36047030200",1
"36119010702",2
"36061018900",2
"36047046800",5
"36081042700",194
"36059302300",1
"36005021200",222
"36081051500",70
"36047053300",152
"36047035300",168
"36047043900",191
"36005032300",20
"36047005602",3
"36005009200",723
"36047083800",11
"36081140300",4
"36047052300",2264
"36047064800",2
"36081006502",3131
"36061025700",9269
"36085018701",1
"36047069602",5
"36005009000",157
"36081012602",9
"36047048400",44
"36081026902",964
"36081031700",890
"36119005100",1
"36047016200",11
"36005007200",1511
"36081099704",54
"36081077904",147
"36047075200",5
"36005026500",673
"36005009800",115
"36081014700",1755
"36047086600",36
"36119002300",1
"36119002201",1
"36061012200",1
"36047042900",340
"36081009800",20
"36081014202",304
"36047009800",19
"36081127700",24
"36005031200",31
"36047062000",12
"36005023703",673
"36005024000",327
"36047063800",1
"36047051100",777
"36047007400",87
"36081147100",11
"36005002702",330
"36081103202",3
"36119004600",2
"36047090200",45
"36081100801",1
"36047028000",7
"36103159408",3
"36061020500",7419
"36047031400",13
"36059300400",1
"36047003800",8
"36061002202",1
"36005021100",410
"36005042400",9
"36047047800",30
"36005022500",419
"36005015800",30
"36005022404",90
"36005019700",1014
"36119000401",8
"36059303000",1
"36081014201",47
"36047040800",1
"36047055100",9402
"36081130100",12
"36047087200",26
"36047006500",3168
"36081055500",16
"36061019702",2374
"36047052800",51
"36061023600",1339
"36081001800",40
"36047048900",106
"36061011900",1
"36047087600",29
"36047029000",16
"36081039400",3
"36081009500",271
"36081070900",34
"36047028501",424
"36047068600",7
"36081047200",31
"36047031702",630
"36061017200",3996
"36047096200",8
"36081103201",9
"36081118500",3
"36047002000",13
"36005025600",123
"36005026702",99
"36081080900",231
"36081040900",512
"36061003001",3
"36005039300",325
"36085009700",1
"36081046900",1398
"36005034800",58
"36047054400",6
"36081015400",31
"36005025500",314
"36081049900",98
"36047042200",23
"36005041300",235
"36005002300",428
"36081003700",274
"36059407302",1
"36005038000",69
"36119001402",4
"36061017500",1
"36047067200",7
"36005041500",180
"36047011800",21
"36047016800",1
"36047034800",859
"36047020200",4
"36005035000",16
"36047122000",44
"36005034200",40
"36047061200",5
"36047014800",3
"36047020500",1797
"36005051600",34
"36047031100",293
"36005040900",408
"36005043500",224
"36005039600",22
"36081009400",19
"36047008600",12
"36047095600",32
"36061018000",3953
"36047017400",2
"36047074200",33
"36047070202",23
"36047079200",172
"36047008800",61
"36047062800",17
"36047057400",2
"36047043100",302
"36061023900",644
"36081075702",231
"36119000103",1
"36119001101",2
"36005036000",25
"36081073900",3857
"36005017100",43
"36047005202",1
"36081105900",2
"36081055600",1
