"geoid","total"
"36081025302",611
"36047027000",3
"36047054800",5
"36047026600",4
"36119001900",1
"36005002500",70
"36047049600",113
"36047075000",5
"36059302102",2
"36059410000",2
"36081024700",476
"36047096600",5
"36061014601",38861
"36047036002",4
"36047001800",205
"36103112204",1
"36047021100",263
"36059302101",3
"36005030200",5
"36081058700",21
"36119010400",4
"36047057000",6
"36005024501",8
"36047059600",1
"36047004500",5418
"36103111601",1
"36005005902",34
"36119002105",10
"36005000100",23
"36047004100",2129
"36005033600",11
"36061014401",22935
"36005000400",18
"36103146204",1
"36047118000",7
"36061000201",396
"36081069702",70
"36047036100",12
"36059519100",2
"36047016000",103
"36061010300",54623
"36061020701",2238
"36061011800",69807
"36081049500",66
"36081024500",249
"36047095800",8
"36061014000",92454
"36081042600",2
"36047007100",185
"36061013800",79243
"36061011402",91905
"36059413200",1
"36005040502",8
"36081021200",364
"36061019500",25526
"36081072300",26
"36081094202",3
"36081009100",427
"36047049700",2556
"36061017100",57668
"36047035200",5
"36081047600",11
"36047028800",6
"36047015300",806
"36081029300",268
"36081030600",485
"36081103300",3
"36005013300",19
"36081133300",5
"36081032700",452
"36005036901",13
"36061014300",187345
"36081020600",182
"36047035000",5
"36059405700",2
"36005015200",7
"36047005100",470
"36047005300",570
"36061013600",75725
"36047093200",4
"36047050100",6006
"36047091000",4
"36047073000",9
"36081011300",910
"36047083000",16
"36119006400",2
"36047024500",742
"36081024300",238
"36081029900",918
"36081000200",4
"36103146300",1
"36081098100",1
"36047024900",377
"36047078600",95
"36005012901",15
"36047045600",38
"36047036300",28
"36047039700",213
"36061006100",84123
"36047052600",150
"36061028100",85
"36061011100",60747
"36047045200",6
"36081081400",56
"36059304100",1
"36087012101",1
"36059520800",1
"36081107201",1
"36081063000",7
"36081008100",104
"36087010602",1
"36081025700",155
"36005007000",12
"36081152901",16
"36061001600",25931
"36081122300",11
"36081086500",25
"36061016700",58177
"36047057500",1743
"36005043100",21
"36081007300",1819
"36047025400",4
"36081006501",997
"36005022902",12
"36047017500",29
"36081093900",3
"36047019800",5
"36047053400",29
"36081044602",46
"36047062600",3
"36081109700",3
"36005029600",20
"36081065703",11
"36061001300",61714
"36047118600",5
"36047001100",6632
"36061022301",5066
"36005014400",3
"36047064400",6
"36061019100",32358
"36081069000",3
"36061001401",2685
"36081113900",2
"36005017902",8
"36047013300",3490
"36005036100",15
"36081023800",70
"36061011401",79444
"36081121100",3
"36059521802",1
"36061031703",70334
"36005020601",9
"36047117201",2
"36047049000",152
"36047089400",5
"36059411301",6
"36047018501",505
"36047037000",29
"36047000200",45
"36059301400",3
"36119007600",5
"36005023704",15
"36047007700",2571
"36047001500",9841
"36081041100",14
"36047022700",1404
"36047040300",80
"36119005902",9
"36081002800",7
"36081008700",70
"36119006500",7
"36081062900",6
"36119001200",1
"36005034500",17
"36061015100",44951
"36005029700",29
"36081075701",304
"36059405400",1
"36061004400",43122
"36059517302",2
"36047070203",8
"36047089800",2
"36005034400",1
"36059406202",4
"36081093401",3
"36119000801",1
"36061017300",41967
"36047025800",9
"36119001301",5
"36005027402",1
"36047028502",107
"36059412100",1
"36047034000",2
"36047023800",1
"36047087000",7
"36005022901",21
"36081027600",3
"36005039400",2
"36085012806",1
"36061012900",89577
"36061001800",97861
"36047101000",3
"36005004200",36
"36005038200",3
"36061026700",18
"36061005200",122256
"36061022000",3098
"36081099802",4
"36061008200",123640
"36005005001",14
"36081074100",18
"36059517600",3
"36061009400",131048
"36047117202",4
"36081140902",2
"36085000800",4
"36081091900",22
"36047057800",5
"36119009702",1
"36005024100",8
"36059300500",4
"36061007600",127213
"36047099800",8
"36005011900",10
"36081033100",277742
"36081071702",316
"36005022401",20
"36081067700",7
"36005036700",6
"36047018200",5
"36081019800",2
"36061010800",97683
"36047053200",22
"36081046600",12
"36119000702",1
"36005040600",1
"36005037900",21
"36119010200",5
"36059304002",7
"36047000301",1443
"36047060800",43
"36081013500",257
"36081040500",51
"36081000600",5
"36085011202",1
"36047010800",9
"36119006900",5
"36047028200",4
"36005017500",14
"36119008602",19
"36081010500",73
"36081046200",30
"36081077902",9
"36119012303",7
"36119007300",4
"36061014200",84722
"36061008900",41720
"36005019900",51
"36081046100",15
"36081004500",1726
"36081015000",13
"36061001200",1960
"36081008300",1440
"36047050000",96
"36047088600",13
"36059407900",1
"36061027900",386
"36005023900",29
"36005018101",15
"36119008302",22
"36047084800",4
"36085001100",1
"36119001600",9
"36005005600",4
"36081117100",38
"36061013100",151628
"36005018302",45
"36081066000",1
"36005023800",19
"36061002700",3183
"36005037100",4
"36103111900",3
"36081054200",9
"36103112102",1
"36081035200",5
"36085020100",1
"36047017700",1078
"36081006100",3439
"36081021400",474
"36059405500",4
"36081115900",6
"36061005900",34957
"36047003500",4882
"36031961300",1
"36045990001",1
"36059517902",2
"36047117800",5
"36047053800",6
"36047051800",31
"36005012101",5
"36081002000",37
"36047041900",55
"36047019700",1189
"36061018400",2367
"36081025500",324
"36081059100",11
"36005030000",9
"36047086200",4
"36047065600",3
"36047080600",34
"36081036700",26
"36081035100",171
"36061006800",113132
"36061027700",31
"36059408300",3
"36005048400",5
"36047055000",9
