"geoid","total"
"36081025302",785
"36047027000",2
"36047054800",3
"36047026600",2
"36005002500",55
"36047049600",121
"36047075000",6
"36059302102",2
"36059410000",6
"36081024700",546
"36047096600",3
"36081043200",1
"36061014601",34853
"36047036002",19
"36047001800",165
"36047021100",212
"36059302101",2
"36005030200",7
"36081058700",21
"36119010400",6
"36047057000",3
"36047059600",3
"36005024501",8
"36047004500",5082
"36005005902",27
"36119002105",1
"36005000100",21
"36047004100",1997
"36005033600",7
"36061014401",20255
"36047118000",9
"36061000201",632
"36081069702",47
"36047036100",19
"36059519100",3
"36047016000",68
"36061010300",52094
"36103112213",2
"36061020701",1704
"36061011800",63205
"36081024500",258
"36081049500",38
"36103145701",4
"36047095800",5
"36061014000",80763
"36081042600",1
"36047007100",203
"36061013800",70735
"36061011402",80521
"36059413200",2
"36005040502",4
"36081021200",309
"36061019500",22309
"36081072300",8
"36081094202",3
"36081009100",435
"36047049700",2000
"36061017100",49882
"36047035200",11
"36081047600",6
"36047028800",10
"36047015300",701
"36081029300",327
"36081030600",656
"36081103300",2
"36005013300",10
"36081133300",6
"36081032700",408
"36005036901",2
"36061014300",165702
"36081020600",216
"36047035000",6
"36059405700",4
"36005015200",5
"36047005100",501
"36047005300",1409
"36061013600",66894
"36047093200",3
"36047050100",5071
"36047091000",9
"36047073000",4
"36081011300",756
"36047083000",14
"36119006400",2
"36047024500",526
"36081024300",193
"36081029900",1360
"36081000200",6
"36103146300",1
"36081098100",2
"36047024900",254
"36047078600",92
"36005012901",10
"36047045600",26
"36047036300",26
"36047039700",190
"36061006100",72886
"36047052600",198
"36061028100",73
"36061011100",59973
"36047045200",13
"36081081400",100
"36059304100",5
"36081144100",1
"36081107201",2
"36059413700",1
"36119007200",3
"36081008100",107
"36081025700",175
"36005007000",17
"36081152901",3
"36061001600",24797
"36081122300",12
"36081086500",34
"36061016700",54398
"36027220100",1
"36047057500",1653
"36005043100",17
"36081007300",1642
"36047025400",4
"36081006501",867
"36005022902",3
"36047017500",55
"36081093900",9
"36085031901",1
"36047019800",1
"36047053400",29
"36081044602",54
"36047062600",3
"36081109700",2
"36005029600",23
"36081065703",6
"36061001300",57182
"36047118600",2
"36047001100",5086
"36061022301",3874
"36005014400",1
"36047064400",2
"36061019100",29233
"36081069000",3
"36061001401",2440
"36081113900",7
"36005017902",9
"36047013300",2646
"36005036100",8
"36081023800",113
"36061011401",71152
"36081121100",2
"36059521802",1
"36061031703",71409
"36005020601",9
"36047117201",1
"36047049000",156
"36047089400",5
"36059411301",4
"36047018501",434
"36081091602",1
"36047037000",15
"36047000200",80
"36059301400",3
"36119007600",5
"36005023704",14
"36047007700",2554
"36047001500",9603
"36081041100",15
"36047022700",997
"36047040300",57
"36081002800",5
"36119005902",2
"36081008700",37
"36119006500",10
"36081099900",1
"36081062900",7
"36005034500",16
"36061015100",39781
"36005029700",22
"36081075701",359
"36059405400",11
"36061004400",38414
"36059517302",1
"36047070203",9
"36047089800",6
"36005034400",1
"36059407000",1
"36059406202",7
"36119000801",1
"36081093401",7
"36059405301",1
"36061017300",39510
