"geoid","total"
"36081025302",13
"36047027000",4
"36047054800",7
"36047026600",5
"36119001900",1
"36005002500",18
"36047049600",31
"36047075000",10
"36059302102",3
"36059410000",5
"36081024700",7
"36047096600",4
"36081043200",2
"36061014601",696
"36047036002",9
"36047001800",152
"36047021100",83
"36059302101",9
"36005030200",4
"36081058700",3
"36119010400",5
"36047057000",14
"36047059600",3
"36005024501",2
"36047004500",377
"36005005902",13
"36119002105",1
"36047004100",486
"36005033600",6
"36061014401",655
"36005000400",5
"36047118000",1
"36061000201",242
"36081069702",12
"36047036100",5
"36059519100",2
"36047016000",39
"36061010300",1684
"36061020701",97
"36061011800",2251
"36081024500",7
"36081049500",6
"36103145701",1
"36047095800",9
"36061014000",2147
"36081042600",1
"36119012501",1
"36047007100",122
"36061013800",2076
"36061011402",1534
"36005040502",7
"36081021200",22
"36061019500",297
"36081072300",23
"36081094202",4
"36081009100",25
"36047049700",319
"36061017100",1181
"36047035200",8
"36081047600",6
"36047028800",9
"36047015300",210
"36081029300",5
"36081030600",36
"36081103300",10
"36081133300",4
"36005013300",3
"36085013302",3
"36081032700",8
"36005036901",2
"36061014300",2714
"36081020600",3
"36047035000",11
"36059405700",1
"36005015200",1
"36047005100",201
"36047005300",831
"36061013600",2027
"36047093200",10
"36047050100",342
"36047091000",4
"36047073000",2
"36047083000",10
"36081011300",47
"36047024500",146
"36081024300",28
"36081000200",2
"36081029900",16
"36081098100",6
"36047024900",182
"36047078600",28
"36005012901",3
"36047045600",16
"36047036300",12
"36047039700",93
"36061006100",3555
"36047052600",51
"36061028100",24
"36061011100",2199
"36047045200",21
"36081081400",7
"36059304100",7
"36081144100",2
"36081063000",1
"36119007200",2
"36081008100",45
"36081025700",9
"36005007000",1
"36081152901",6
"36061001600",1419
"36081122300",3
"36081086500",11
"36061016700",1118
"36047057500",248
"36005043100",24
"36081007300",60
"36047025400",2
"36005022902",5
"36081006501",76
"36047017500",18
"36081093900",6
"36047019800",8
"36047053400",20
"36081044602",17
"36047062600",2
"36005029600",36
"36081065703",9
"36061001300",2899
"36047118600",8
"36059413804",11
"36103122801",2
