"geoid","total"
"36081025302",94
"36103122501",2
"36047027000",27
"36047054800",17
"36047026600",15
"36005002500",18
"36047049600",114
"36047075000",23
"36059302102",18
"36059410000",3
"36081024700",34
"36047096600",6
"36059407203",4
"36081043200",4
"36061014601",1437
"36103158107",1
"36047036002",34
"36047001800",320
"36103112204",3
"36059302101",34
"36047021100",274
"36005030200",6
"36081058700",36
"36119010400",14
"36047057000",20
"36005024501",11
"36047059600",6
"36047004500",797
"36103159404",1
"36005005902",35
"36119002105",4
"36047004100",876
"36005033600",8
"36061014401",1095
"36005000400",19
"36103146204",1
"36047118000",1
"36061000201",407
"36081069702",57
"36047036100",28
"36059519100",7
"36047016000",132
"36061010300",2948
"36103112213",1
"36061020701",292
"36119010901",3
"36061011800",3700
"36081024500",68
"36081049500",12
"36103145701",16
"36047095800",11
"36061014000",3149
"36081042600",3
"36047007100",289
"36059520002",4
"36061013800",3530
"36061011402",2284
"36059413200",1
"36005040502",9
"36081021200",52
"36061019500",848
"36081072300",106
"36081094202",17
"36081009100",99
"36047049700",970
"36061017100",2352
"36047035200",69
"36081047600",6
"36047028800",18
"36047015300",496
"36081029300",11
"36081030600",103
"36081103300",11
"36081133300",23
"36005013300",6
"36081032700",23
"36005036901",5
"36061014300",4071
"36081020600",11
"36047035000",37
"36059405700",5
"36005015200",9
"36047005100",478
"36047005300",2365
"36061013600",3802
"36047093200",7
"36047050100",1032
"36047091000",10
"36047073000",28
"36081011300",219
"36047083000",19
"36119006400",8
"36047024500",320
"36081024300",74
"36081029900",57
"36081000200",11
"36103146300",4
"36081098100",11
"36047024900",316
"36047078600",80
"36005012901",3
"36047045600",54
"36047036300",62
"36047039700",217
"36061006100",5301
"36047052600",178
"36061028100",99
"36059519704",4
"36061011100",4452
"36047045200",47
"36081081400",11
"36059304100",16
"36087012101",1
"36059520800",2
"36081144100",10
"36081107201",3
"36081063000",3
"36059413700",1
"36119007200",39
"36081008100",89
"36081025700",31
"36005007000",11
"36081152901",19
"36061001600",2693
"36081122300",19
"36081086500",28
"36061016700",2286
"36047057500",692
"36005043100",31
"36081007300",250
"36047025400",13
"36081006501",218
"36005022902",11
"36047017500",32
"36081093900",2
"36047019800",14
"36047053400",40
"36081044602",27
"36047062600",10
"36081109700",16
"36005029600",72
"36081065703",39
"36061001300",4692
"36047118600",15
"36059413804",1
"36103122801",7
"36047001100",1216
"36103111506",2
"36061022301",246
"36005014400",12
"36047064400",15
"36061019100",1015
"36081069000",6
"36061001401",520
"36081113900",11
"36005017902",8
"36047013300",778
"36005036100",22
"36081023800",19
"36061011401",4682
"36081121100",8
"36059521802",2
"36061031703",6525
"36005020601",10
"36047117201",4
"36047049000",137
"36047089400",14
"36059411301",18
"36047018501",165
"36081091602",4
"36047037000",29
"36047000200",258
"36059301400",6
"36119007600",41
"36005023704",4
"36047007700",862
"36047001500",2416
"36081041100",4
"36047022700",508
"36047040300",154
"36119005902",33
"36081002800",2
"36103124001",3
"36081008700",33
"36119006500",12
"36081099900",3
"36081062900",44
"36119001200",5
"36005034500",40
"36061015100",3041
"36005029700",103
"36081075701",123
"36059405400",9
"36061004400",3981
"36059517302",2
"36047089800",4
"36005034400",9
"36059406202",7
"36119000801",6
"36081093401",1
"36059405301",8
"36061017300",2166
"36047025800",7
"36119001301",5
"36081119900",2
