CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
9,5,Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.01672915000,2497009.69933999982
125,5,Staten Island,012500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.85552970000,4954936.23795999959
133.01,5,Staten Island,013301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.31267609000,721784.66218900005
197,5,Staten Island,019700,5019700,I,SI07,Westerleigh,3903,9097.69722555000,3231720.02357000019
20.02,5,Staten Island,002002,5002002,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12591.72590140000,8501223.94322999939
64,5,Staten Island,006400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.36040620000,7643183.65481000021
74,5,Staten Island,007400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.94847532000,5788237.84215999953
187.01,5,Staten Island,018701,5018701,I,SI07,Westerleigh,3903,8626.77126896000,4267475.71129999962
22.02,1,Manhattan,002202,1002202,I,MN28,Lower East Side,3809,3817.39163110000,603922.27564899996
32,1,Manhattan,003200,1003200,I,MN22,East Village,3809,6358.38668446000,2334190.23228000011
68,1,Manhattan,006800,1006800,I,MN21,Gramercy,3808,5723.88303696000,1877943.25271999999
89,1,Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.76949860000,1782278.50665000011
96,1,Manhattan,009600,1009600,E,MN17,Midtown-Midtown South,3807,5737.35624706000,1887288.40107999998
98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.19981063000,1906016.35002000001
100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.16848829000,1860938.37794000003
102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,5687.80257900000,1860992.53630000004
104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,5693.03611793000,1864600.35091000004
112.01,1,Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,3716.14678469000,856164.35612300003
112.02,1,Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,3688.76232774000,839525.78146400000
112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.17303129000,854082.51542600000
113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.86064127000,1890907.33104000008
114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.25610044000,1063547.40503000002
130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.97295638000,1918144.54034999991
140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564028000,1925984.22252000007
142,1,Manhattan,014200,1014200,I,MN40,Upper East Side-Carnegie Hill,3805,5821.70494448000,1927688.30288999993
146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.13339273000,799879.90851199999
146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.69548284000,1175338.61171000008
148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.95142305000,559216.15781600005
148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.02934060000,1351364.99046000000
153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.29234158000,1872392.70530000003
154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.95800352000,1909222.23423000006
156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.82447040000,791912.50840499997
156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.70693444000,1169934.51083999989
160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.50709591000,1351864.83532000007
184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,3804,5771.87434664000,1903568.32101000007
190,1,Manhattan,019000,1019000,I,MN11,Central Harlem South,3803,4231.82715894000,1117371.72802000004
201.01,1,Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,3329.88169471000,593526.65757200005
201.02,1,Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,3745.87103479000,897067.88272600004
206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.87315148000,1602693.80227000010
218,1,Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,5775.54607360000,1958240.31165000005
220,1,Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,5691.51403628000,1882932.86037999997
229,1,Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,7284.20793637000,2186714.27414999995
234,1,Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.09213372000,1164816.98100999999
239,1,Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,3635.96212200000,687269.18532699998
249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,3927.82144756000,652856.37798400002
253,1,Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,5651.31758223000,1822960.40360999992
257,1,Manhattan,025700,1025700,E,MN11,Central Harlem South,3803,6060.11937488000,1550590.16396000003
261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,5532.10008076000,1681539.28940999997
263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,5730.54168728000,1691892.07634999999
267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,3869.44737940000,518771.66850299999
269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,6017.03696039000,1889655.68675000011
277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,5903.15218861000,1760155.97864999995
2,3,Brooklyn,000200,3000200,I,BK32,Sunset Park West,4012,9075.28517732000,2952085.34744999977
5.01,3,Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.17004215000,901506.99248100002
20,3,Brooklyn,002000,3002000,E,BK32,Sunset Park West,4012,5426.06676536000,1620769.81325999997
41,3,Brooklyn,004100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5283.85665969000,1744094.39519999991
52.01,3,Brooklyn,005201,3005201,E,BK31,Bay Ridge,4013,5520.04789788000,1448244.16723000002
52.02,3,Brooklyn,005202,3005202,I,BK31,Bay Ridge,4013,5190.71390848000,1398134.48415999999
58,3,Brooklyn,005800,3005800,E,BK31,Bay Ridge,4013,6098.16779894000,2080303.31410000008
