,year,n,dec,ko_tko,other,Submission,dec_share,ko_tko_share,other_share,Submission_share,,,
1,2000,4,1,0,0,3,25,0,0,75,,,
2,2001,1,0,0,0,1,0,0,0,100,,,
3,2002,6,1,2,0,3,16.66666667,33.33333333,0,50,,,
4,2003,11,1,4,0,6,9.090909091,36.36363636,0,54.54545455,,,
5,2004,26,12,3,0,11,46.15384615,11.53846154,0,42.30769231,,,
6,2005,35,16,6,0,13,45.71428571,17.14285714,0,37.14285714,,,
7,2006,56,20,16,1,19,35.71428571,28.57142857,1.785714286,33.92857143,,,
8,2007,103,35,22,0,46,33.98058252,21.3592233,0,44.66019417,,,
9,2008,70,24,17,0,29,34.28571429,24.28571429,0,41.42857143,,,
10,2009,96,31,25,1,39,32.29166667,26.04166667,1.041666667,40.625,,,
11,2010,163,56,51,3,53,34.35582822,31.28834356,1.840490798,32.51533742,,,
12,2011,131,39,39,1,52,29.77099237,29.77099237,0.763358779,39.69465649,,,
13,2012,196,71,65,0,60,36.2244898,33.16326531,0,30.6122449,,,
14,2013,208,81,51,2,74,38.94230769,24.51923077,0.961538462,35.57692308,,,
15,2014,174,75,45,1,53,43.10344828,25.86206897,0.574712644,30.45977011,,,
16,2015,62,31,16,0,15,50,25.80645161,0,24.19354839,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,year,Decision,KO/TKO,Other,Submission
,,,,,,,,,2003,9.090909091,36.36363636,0,54.54545455
,,,,,,,,,2004,46.15384615,11.53846154,0,42.30769231
,,,,,,,,,2005,45.71428571,17.14285714,0,37.14285714
,,,,,,,,,2006,35.71428571,28.57142857,1.785714286,33.92857143
,,,,,,,,,2007,33.98058252,21.3592233,0,44.66019417
,,,,,,,,,2008,34.28571429,24.28571429,0,41.42857143
,,,,,,,,,2009,32.29166667,26.04166667,1.041666667,40.625
,,,,,,,,,2010,34.35582822,31.28834356,1.840490798,32.51533742
,,,,,,,,,2011,29.77099237,29.77099237,0.763358779,39.69465649
,,,,,,,,,2012,36.2244898,33.16326531,0,30.6122449
,,,,,,,,,2013,38.94230769,24.51923077,0.961538462,35.57692308
,,,,,,,,,2014,43.10344828,25.86206897,0.574712644,30.45977011
,,,,,,,,,2015,50,25.80645161,0,24.19354839
