"","year","Arm Triangle","Armbar","Guillotine","Heel Hook","Keylock","Kimura","Punches","Rear Naked Choke","Triangle Choke","Unknown"
"1",2000,0,66.6666666666667,0,0,0,0,0,33.3333333333333,0,0
"2",2001,0,100,0,0,0,0,0,0,0,0
"3",2002,0,33.3333333333333,0,0,0,0,33.3333333333333,33.3333333333333,0,0
"4",2003,0,50,0,0,16.6666666666667,0,33.3333333333333,0,0,0
"5",2004,0,72.7272727272727,0,0,0,0,0,18.1818181818182,9.09090909090909,0
"6",2005,9.09090909090909,63.6363636363636,0,0,0,0,0,9.09090909090909,18.1818181818182,0
"7",2006,11.7647058823529,41.1764705882353,11.7647058823529,0,0,11.7647058823529,0,23.5294117647059,0,0
"8",2007,0,53.4883720930233,4.65116279069767,4.65116279069767,0,2.32558139534884,2.32558139534884,20.9302325581395,6.97674418604651,4.65116279069767
"9",2008,0,65.3846153846154,3.84615384615385,3.84615384615385,0,3.84615384615385,0,15.3846153846154,3.84615384615385,3.84615384615385
"10",2009,2.94117647058824,47.0588235294118,0,2.94117647058824,2.94117647058824,2.94117647058824,5.88235294117647,32.3529411764706,2.94117647058824,0
"11",2010,2.12765957446809,55.3191489361702,4.25531914893617,0,4.25531914893617,2.12765957446809,2.12765957446809,17.0212765957447,8.51063829787234,4.25531914893617
"12",2011,3.92156862745098,47.0588235294118,9.80392156862745,1.96078431372549,1.96078431372549,0,0,31.3725490196078,3.92156862745098,0
"13",2012,3.38983050847458,45.7627118644068,15.2542372881356,0,0,3.38983050847458,1.69491525423729,23.728813559322,6.77966101694915,0
"14",2013,2.73972602739726,39.7260273972603,5.47945205479452,1.36986301369863,4.10958904109589,0,0,36.986301369863,5.47945205479452,4.10958904109589
"15",2014,4.08163265306122,36.734693877551,4.08163265306122,2.04081632653061,0,0,0,40.8163265306122,4.08163265306122,8.16326530612245
"16",2015,0,26.6666666666667,6.66666666666667,0,0,6.66666666666667,0,40,20,0
