event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,1,,2335738,2504081,215,415,2335738,Won,1,26,WTS-SA03X,goulder,21-Jul-10,TKO,Heavyweight,MMA,1,30:00:00,Gerard Gordeau,Teila Tuli
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,2,,2335738,2504082,215,285,2335738,Won,1,59,WTS-SA03X,goulder,21-Jul-10,TKO,Heavyweight,MMA,1,30:00:00,Gerard Gordeau,Kevin Rosier
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,3,,2335728,2504082,230,285,2504082,Won,1,260,WTS-SA03X,goulder,21-Jul-10,TKO,Heavyweight,MMA,1,30:00:00,Zane Frazier,Kevin Rosier
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,4,,2335638,2335697,196,180,2335697,Won,1,138,WTS-SA03X,goulder,21-Jul-10,Submission,Heavyweight,MMA,1,30:00:00,Art Jimmerson,Royce Gracie
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,5,,2335653,2335697,205,180,2335697,Won,1,57,WTS-SA03X,goulder,21-Jul-10,Submission (Rear Naked Choke),Heavyweight,MMA,1,30:00:00,Ken Shamrock,Royce Gracie
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,6,,2335738,2335697,215,180,2335697,Won,1,104,WTS-SA03X,goulder,21-Jul-10,Submission (Rear Naked Choke),Heavyweight,MMA,1,30:00:00,Gerard Gordeau,Royce Gracie
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,7,,2335653,2335742,205,225,2335653,Won,1,109,WTS-SA03X,goulder,21-Jul-10,Submission (Heel Hook),Heavyweight,MMA,1,30:00:00,Ken Shamrock,Patrick Smith
400255729,12-Nov-93,UFC 1: The Beginning,3321,10504,Final,4221,4221,8,,2335635,2335757,190,185,2335635,Won,1,52,WTS-SA03X,goulder,21-Jul-10,Submission (Rear Naked Choke),Heavyweight,MMA,1,30:00:00,Jason DeLucia,Trent Jenkins
400255726,11-Mar-94,UFC 2: No Way Out,3321,10504,Final,4220,4220,1,,2335742,2335697,225,180,2335697,Won,1,77,WTS-SA03X,Mendozab,14-May-11,Submission (Punches),Heavyweight,MMA,3,5:00,Patrick Smith,Royce Gracie
400255726,11-Mar-94,UFC 2: No Way Out,3321,10504,Final,4220,4220,2,,2559188,2335697,250,180,2335697,Won,1,91,WTS-SA03X,Mendozab,14-May-11,Submission (Choke),Heavyweight,MMA,3,5:00,Remco Pardoel,Royce Gracie
