external_id,date
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2013-07-1
UCozTNWrw41RC5P447d2nuKw,2010-10-1
UC5rBpVgv83gYPZ593XwQUsA,2011-12-1
UCUaHJ0fTA-1theR8A8Polmw,2007-07-1
UCxNkdjiN-zutIFvyH5g-c3g,2011-02-1
UClsy9JcwIVaq29WhPFI0eBg,2014-02-1
UC0PXqiud6dbwOAk8RvslgpQ,2007-04-1
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-02-1
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-02-1
UClozwh5URilIQpDFeXch8qw,2011-03-1
UCnsQjCVzmEd-YvlQZbo6zCg,2010-09-1
UCeZiul_hKxc-r0yEL27i1Xw,2008-08-1
UC4SUUloEcrgjsxbmy_rQQXA,2013-07-1
UCLAumKr0O_z6r6RPiummR1g,2012-11-1
UCLcxQ8h1PX3WgLdgnJHcCxg,2013-07-1
UCkyrSWEcjZKpIwMxiPfOcgg,2007-01-1
UCLAcNrfZd3Nstptyuf54OVg,2013-06-1
UCL2BnoeVmDODuNEPuxobpug,2012-07-1
UCCJvN30up_Sunwgvprt-M_w,2013-12-1
UCHhXSfCzQYAAFkpdxr7QsaA,2012-12-1
UCmyGH1tjNBs2VFtVSAtmNOg,2009-06-1
UCBi2mrWuNuyYy4gbM6fU18Q,2009-04-1
UCbCmjCuTUZos6Inko4u57UQ,2006-09-1
UCPvEbO2bI5x1MVLUuRJoZXg,2012-08-1
UC_2irx_BQR7RsBKmUV9fePQ,2011-08-1
UCRWFSbif-RFENbBrSiez1DA,2012-06-1
UCstEtN0pgOmCf02EdXsGChw,2008-07-1
UCE2606prvXQc_noEqKxVJXA,2009-10-1
UC1D36wr10qyCfisHulZ5G8Q,2008-10-1
UCIWZ1_W5BqsvW9fm1cYFPpQ,2009-03-1
UChl6CG-V7LgqhfwkvbHH67Q,2012-01-1
UC2W6UhKpcXfOv2heky0vb8Q,2014-01-1
UCNpix5mmVuqhg94qxrsnPtw,2013-07-1
UCMjd-1F53XKknIcMPtAOmJQ,2012-01-1
UCs7on9W7SIbyO4f-Pb7lgbg,2010-04-1
UC_Ds7nedV3NqYf0zhpYti4A,2010-09-1
UC-PHIZjV-oX8H7zD1cCN2NQ,2013-07-1
UC_6zPf4uuteHFFctnQtEaXQ,2009-01-1
UCPigm-S4qXw2PSx1UEeEChQ,2011-08-1
UCJrXOOtvmGn4CF7aYaJwuHA,2012-10-1
UC12Ku0_2bhNsreyaoZH9raQ,2012-01-1
UCNKcMBYP_-18FLgk4BYGtfw,2013-02-1
UCt4t-jeY85JegMlZ-E5UWtA,2009-08-1
UC026Lbh9_gRAReUL6hUGR_w,2009-07-1
UCpmZQGTZXn9xd4nN59pbIWQ,2014-06-1
UClwkBPKzW8h_rfZWuG_kWjw,2006-04-1
UC-27_Szq7BtHDoC0R2U0zxA,2010-09-1
UC0gaQo_koRNiYSSblRyXC0g,2013-12-1
UCt6_7e1yAZxhn5E2ojiZA6w,2011-09-1
UCtQp6YD3Uc7Q439xlWL6APA,2009-11-1
UCsk6PjpDJF5nr6x2xMB2cPg,2010-11-1
UCCww-R0oM_CQWXerBcNyKKw,2010-03-1
UCfiwzLy-8yKzIbsmZTzxDgw,2007-06-1
UCtpL6HyBK-z16GbJguHf3JQ,2011-08-1
UCqFCFEIqqh35HXvkl58CERw,2008-10-1
UCahpxixMCwoANAftn6IxkTg,2008-08-1
UCWuj6cpZL_T1U508Y082u3g,2014-06-1
UCmBnutz50JW-jAuYz21URIg,2008-12-1
UCk4Du9D3ai1FTbuI_-86T6w,2010-12-1
UCXZioM6A3pMHBTwOLxEs22A,2014-03-1
UCXN6dUO4RBUs2FAK1e9Qq7A,2014-01-1
UCYVinkwSX7szARULgYpvhLw,2009-11-1
UCSReacwdlGHHyTIyuROhVdQ,2011-01-1
UCMry5jwn3fSxXqnqUUIcR0Q,2014-04-1
UC1xvP0LqUviUOxvchL5goSw,2012-12-1
UCPZiqlNI3RLyF47QTdq93GQ,2013-06-1
UCGi_crMdUZnrcsvkCa8pt-g,2010-02-1
UCedcH2kb9dRn6qPcafYF48g,2013-08-1
UC-kezFAw46x-9ctBUqVe86Q,2014-01-1
UC_zEzzq54Rm0iy7lmmZbCIg,2012-03-1
UCT2X19JJaJGUN7mrYuImANQ,2010-04-1
UC9M7-jzdU8CVrQo1JwmIdWA,2012-06-1
UCgyqtNWZmIxTx3b6OxTSALw,2011-04-1
UC4kyYTypYb3mQ6ZL25kly6g,2009-06-1
UCK9oh53NmUu0kvUWBVG34kA,2014-01-1
UCkEBDbzLyH-LbB2FgMoSMaQ,2007-04-1
UC09cuppOi5VxxLyykSpdnlw,2011-06-1
UCDpi86-drykZcnaDmR_4Yqw,2012-11-1
UCCjSkOjpRCp9s2tORCGDSug,2014-03-1
UCCGLzU6yF7DBAIg0493j9ow,2008-01-1
UC5MzAFj1U6Djzw6nUnsrLjg,2007-03-1
UCV2P4cb6zDK0G7c9Qj0sMRw,2013-09-1
UCqjjyPUghDSSKFBABM_CXMw,2012-05-1
UCP74I8w5CgO6Ud9hHYfQABA,2009-02-1
UCw_T-wN5D_NbfwFp4ztQvBA,2011-02-1
UCE_M8A5yxnLfW0KghEeajjw,2013-06-1
UCgTpLnSqzJntGjHLfuE2WNA,2009-09-1
UCrvHY7epa3hXaxsK6tdsp-A,2009-06-1
UCERVhkIYIeEdTQkQciwDN3A,2012-08-1
UCAbinsttOjP3NpPCn2G4Row,2009-11-1
UCafNntv_qTQB26AvbEQNHPw,2012-03-1
UCUd0P7GJ_6UiLcIpfKH9sCQ,2010-04-1
UCD8bmW4A7eYzHrW7sXwsqwQ,2013-02-1
UCLE2DRceHB_EZJA0esMjU4g,2012-11-1
UCjdEg3t61ff5LTWrzeDnpvg,2009-06-1
UCBTy8j2cPy6zw68godcE7MQ,2012-10-1
UCbuyZEYXgjMV042uuwa_aFw,2009-10-1
UCC552Sd-3nyi_tk2BudLUzA,2012-06-1
UClvgyQvIplPQU8N73vPlFUA,2013-09-1
UCAHWfoEatNl3QFloR8i5xzQ,2014-04-1
UCp_r6Z-Oh0YTf-ym71z5Nqg,2011-10-1
UCR1EMxu9anmg7DhJBxNUbsA,2011-05-1
UC52X5wxOL_s5yw0dQk7NtgA,2008-01-1
UCfztuMBrL9F-KqLZk_SY9TA,2010-10-1
UCe4LM_eKc9ywRmVuBm5pjQg,2007-02-1
UCUI17lXQLChtjCveKMq7Xbw,2009-01-1
UCnpy6aaJeb29DZJ8bsCgRiQ,2009-06-1
UCFpI4b_m-449cePVasc2_8g,2007-08-1
UCNpLPsSmanPaD83VtTgMb3g,2009-11-1
UCyQqzYXQBUWgBTn4pw_fFSQ,2008-08-1
UCXGgrKt94gR6lmN4aN3mYTg,2009-04-1
UCIPA6iWNaoetaa1T46RkzXw,2011-12-1
UCYCgq9pdIv95dnjMPFdk_DQ,2009-10-1
UCV1nIfOSlGhELGvQkr8SUGQ,2009-09-1
UChI4p4l9OlVJ41c6AYQBtlw,2012-01-1
UCIMzhx509wEXMuGkTK-kD9Q,2007-08-1
UCzaLBeGCvk47gY522T1WVLA,2014-01-1
UCWljxewHlJE3M7U_6_zFNyA,2012-05-1
UCq49Dchmdahq2tS9TJCv7XQ,2012-06-1
UCnk7bkIwjzxE_LqBmjekLBg,2014-10-1
