external_id,date,videos,view_count
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2013-07-1,4,310000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2013-08-1,11,6000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2013-11-1,3,1000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-01-1,1,440000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-02-1,13,5600000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-03-1,10,3.20E+07
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-06-1,1,2000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-07-1,4,7000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-08-1,3,29000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-09-1,2,8000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-10-1,3,320000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2014-11-1,2,13000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2015-01-1,1,36000
UCrFjJZkKv-Zh8ZYaUnKKVSQ,2015-04-1,4,1100000
UCozTNWrw41RC5P447d2nuKw,2010-10-1,6,42000
UCozTNWrw41RC5P447d2nuKw,2011-07-1,4,35000
UCozTNWrw41RC5P447d2nuKw,2012-01-1,2,6000
UCozTNWrw41RC5P447d2nuKw,2012-05-1,3,4000
UCozTNWrw41RC5P447d2nuKw,2012-06-1,2,0
UCozTNWrw41RC5P447d2nuKw,2012-09-1,1,5000
UCozTNWrw41RC5P447d2nuKw,2012-12-1,1,0
UCozTNWrw41RC5P447d2nuKw,2013-02-1,1,0
UCozTNWrw41RC5P447d2nuKw,2013-04-1,1,1000
UCozTNWrw41RC5P447d2nuKw,2013-06-1,5,5000
UCozTNWrw41RC5P447d2nuKw,2013-09-1,4,3.00E+05
UCozTNWrw41RC5P447d2nuKw,2013-10-1,10,360000
UCozTNWrw41RC5P447d2nuKw,2013-11-1,59,510000
UCozTNWrw41RC5P447d2nuKw,2013-12-1,113,520000
UCozTNWrw41RC5P447d2nuKw,2014-01-1,98,2900000
UCozTNWrw41RC5P447d2nuKw,2014-02-1,154,1600000
UCozTNWrw41RC5P447d2nuKw,2014-03-1,202,9700000
UCozTNWrw41RC5P447d2nuKw,2014-04-1,162,3700000
UCozTNWrw41RC5P447d2nuKw,2014-05-1,142,3200000
UCozTNWrw41RC5P447d2nuKw,2014-06-1,144,2500000
UCozTNWrw41RC5P447d2nuKw,2014-07-1,123,2500000
UCozTNWrw41RC5P447d2nuKw,2014-08-1,39,470000
UCozTNWrw41RC5P447d2nuKw,2014-09-1,96,1500000
UCozTNWrw41RC5P447d2nuKw,2014-10-1,93,690000
UCozTNWrw41RC5P447d2nuKw,2014-11-1,70,1300000
UCozTNWrw41RC5P447d2nuKw,2014-12-1,62,1800000
UCozTNWrw41RC5P447d2nuKw,2015-01-1,67,2400000
