year_month,external_id,subscriber_count
2013-01-1,UC21yq4sq8uxTcfgIxxyE9VQ,365100
2013-01-1,UCzuvRWjh7k1SZm1RvqvIx4w,83500
2013-01-1,UCAuUUnT6oDeKwE6v1NGQxug,637200
2013-01-1,UCWJ2lWNubArHWmf3FIHbfcQ,1316000
2013-01-1,UCbEsrYwtICShIo_VPoBCQGw,16500
2013-01-1,UCXGgrKt94gR6lmN4aN3mYTg,102700
2013-01-1,UCvwgF_0NOZe2vN4Q3g1bY-A,217700
2013-01-1,UCJZ94qp4dtCw0Q5UQqAkg7w,2000
2013-01-1,UCyP1SvkDY0EaCjDAJnNMLBw,377600
2013-01-1,UCUaHJ0fTA-1theR8A8Polmw,24500
2013-01-1,UCuGPetPDhu7H4C_idZ5qu7A,0
2013-01-1,UC22zQ9nBEk6KOjUWqR5XXZg,93100
2013-01-1,UCJrXOOtvmGn4CF7aYaJwuHA,5000
2013-01-1,UCTxW7HKOZB4rnPOmBNY7dmw,315700
2013-01-1,UCHAx8o0jj-8L_sqR5QM1Cwg,204500
2013-01-1,UCBTy8j2cPy6zw68godcE7MQ,2800
2013-01-1,UC4GtJWgv_PLBiWFihNGbF0g,240200
2013-01-1,UCAUTncHmFWaaNo91xg4As3g,255000
2013-01-1,UCQMFJQrFdtsYuJvCRQj1zDA,NA
2013-01-1,UCiDJtJKMICpb9B1qf7qjEOA,44100
2013-01-1,UCZYTClx2T1of7BRZ86-8fow,414300
2013-01-1,UCME81PohuzT1JMCsEtvsD2w,75800
2013-01-1,UCtEt-shvshHduBTAZju3kOQ,245000
2013-01-1,UCiWLfSweyRNmLpgEHekhoAg,464000
2013-01-1,UC4LHNX8d8RqnDX0OezgmCTg,483800
2013-01-1,UC6UL29enLNe4mqwTfAyeNuw,5300
2013-01-1,UCUKi4zY5ETSqrKAjTBgjM-g,774800
2013-01-1,UCfm4y4rHF5HGrSr-qbvOwOg,176700
2013-01-1,UCxvxIxnS9cjPyeebbiOd4lg,6400
2013-01-1,UCpGdL9Sn3Q5YWUH2DVUW1Ug,3000
2013-01-1,UCw5pE2GElcHeErKVyF76jjg,1600
2013-01-1,UCpb_iJuhFe8V6rQdbNqfAlQ,18000
2013-01-1,UCi7GJNg51C3jgmYTUwqoUXA,252300
2013-01-1,UCf8w5m0YsRa8MHQ5bwSGmbw,65300
2013-01-1,UC_2irx_BQR7RsBKmUV9fePQ,29900
2013-01-1,UCpZ5qUqpW4hW4zdfuBxMSJA,NA
2013-01-1,UCWy8jDk2k93E0c6iGdMnt_A,100
2013-01-1,UCPgLNge0xqQHWM5B5EFH9Cg,27000
2013-01-1,UCSK1_qvsEuTNZnvLQvNRLGQ,15600
2013-01-1,UCt4t-jeY85JegMlZ-E5UWtA,24300
2013-01-1,UCj4I9NfO3xIvl-Ym2Qzib1Q,86500
2013-01-1,UCSrZ3UV4jOidv8ppoVuvW9Q,29400
2013-01-1,UCUFNaNGi3lnBPq4gtdfJCAA,14000
2013-01-1,UCNqbJ7zpxAxC2BxPx-xmx6g,300
2013-01-1,UCI3ESb2GoE1w5MIKosbmutQ,0
2013-01-1,UCe9oofjVfJzapRyVlt57x8Q,361200
2013-01-1,UCKqSXA4MMqy78XuPT0PX8TA,0
2013-01-1,UCHfdTAyg5t4mb1G-3rJ6QsQ,200
2013-01-1,UCkRY4J8G__K8SEWZRLbke-Q,100
2013-01-1,UCWljxewHlJE3M7U_6_zFNyA,275400
2013-01-1,UCT-LpxQVr4JlrC_mYwJGJ3Q,54600
2013-01-1,UC7DpParfqYQEbFGt5eTX5pQ,386400
2013-01-1,UC7Uibumwcqq1yOvlK9yq7nw,300
2013-01-1,UCdNjexbIS_NKJC4ZRwKf9ag,104700
2013-01-1,UCEY1ejsweY4DgMwOVJeEaBA,1052500
2013-01-1,UCfWqafyV4h6S_U_QpjT-6Ew,174500
2013-01-1,UCm3Y5mfuO7pf3SXQILf3Obg,89900
2013-01-1,UCG9gfnA5UDoLvz-tC9B-HKw,556700
2013-01-1,UCoxcjq-8xIDTYp3uz647V5A,269600
2013-01-1,UCe4Gy3xDG5K0xuRKm7a6l_g,6100
2013-01-1,UCE5910LWuMTGWmIJ_WE3KvA,0
2013-01-1,UCNrfpyNlkBW63rgTwX1fGgw,100
2013-01-1,UCweOkPb1wVVH0Q0Tlj4a5Pw,559900
2013-01-1,UC1-VOKyTJrgLiBeiJqzeIUQ,200
2013-01-1,UC8rNKrqBxJqL9izOOMxBJtw,602700
2013-01-1,UCBzfdgfIAANfgP3xyhVaEfQ,83600
2013-01-1,UCEUf_uUDUfJJ3XfgwOxm-0A,600
2013-01-1,UCzWygEC8zQKYpCp7nwX_M-A,161400
2013-01-1,UCQR_jO1aqpsdfrZNHkoSjDQ,38800
2013-01-1,UCZ90tZPn-ue2BmRAcDD88tA,108200
2013-01-1,UCsT0YIqwnpJCM-mx7-gSA4Q,169300
2013-01-1,UCD-NZ6Gm9jk1MvjVLRT1NOw,1800
2013-01-1,UCg1uYO329KcAEN-PQdoQMKQ,105800
2013-01-1,UCkyrSWEcjZKpIwMxiPfOcgg,8800
2013-01-1,UC5A-Wp9ujcr5g9sYagAafEA,53300
2013-01-1,UCVxmo7C8ltLt5u19NKrUNAQ,NA
2013-01-1,UCvqRdlKsE5Q8mf8YXbdIJLw,6100
2013-01-1,UCZEbOOiNiR7pjE2Adb7TUrA,NA
2013-01-1,UC5aeU5hk31cLzq_sAExLVWg,0
2013-01-1,UCsAegdhiYLEoaFGuJFVrqFQ,588000
2013-01-1,UCE1q34IyY27CI31HFkeng0Q,NA
2013-01-1,UCs2t9DlvAuyTBkvk2djGZKw,212500
