"external_id","likes"
"UC4GtJWgv_PLBiWFihNGbF0g",1.2e+07
"UCUFNaNGi3lnBPq4gtdfJCAA",950000
"UC-Vn_yBa4VUfX56pq_px2vw",290000
"UCUKi4zY5ETSqrKAjTBgjM-g",1.6e+07
"UCtEt-shvshHduBTAZju3kOQ",1.2e+07
"UCME81PohuzT1JMCsEtvsD2w",2500000
"UCBTy8j2cPy6zw68godcE7MQ",3e+06
"UCiWLfSweyRNmLpgEHekhoAg",4900000
"UC_2irx_BQR7RsBKmUV9fePQ",850000
"UCpZ5qUqpW4hW4zdfuBxMSJA",4100000
"UCWy8jDk2k93E0c6iGdMnt_A",9e+06
"UCc2_j9TZ1UU9nCedF3UsuFQ",770000
"UCAuUUnT6oDeKwE6v1NGQxug",1.3e+07
"UCJZ94qp4dtCw0Q5UQqAkg7w",950000
"UCXGgrKt94gR6lmN4aN3mYTg",5600000
"UC22zQ9nBEk6KOjUWqR5XXZg",74000
"UCAUTncHmFWaaNo91xg4As3g",3800000
"UCt4t-jeY85JegMlZ-E5UWtA",1e+06
"UCZYTClx2T1of7BRZ86-8fow",1.9e+07
"UCI3ESb2GoE1w5MIKosbmutQ",490000
"UCpGdL9Sn3Q5YWUH2DVUW1Ug",8.3e+07
"UCq-ob73jZBpfgKkd1Pn_H4A",74000
"UC6UL29enLNe4mqwTfAyeNuw",4900000
"UCNqbJ7zpxAxC2BxPx-xmx6g",3300000
"UCXLw_h6bFfPOKbDJXDUjA-Q",2400000
"UCzuvRWjh7k1SZm1RvqvIx4w",2200000
"UCUaHJ0fTA-1theR8A8Polmw",1200000
"UCj4I9NfO3xIvl-Ym2Qzib1Q",1.9e+07
"UCf8w5m0YsRa8MHQ5bwSGmbw",440000
"UCvwgF_0NOZe2vN4Q3g1bY-A",2.3e+07
"UCuGPetPDhu7H4C_idZ5qu7A",190000
"UCpb_iJuhFe8V6rQdbNqfAlQ",1.3e+07
"UC21yq4sq8uxTcfgIxxyE9VQ",1.2e+07
"UCSrZ3UV4jOidv8ppoVuvW9Q",1100000
"UCPgLNge0xqQHWM5B5EFH9Cg",1900000
"UCi7GJNg51C3jgmYTUwqoUXA",3e+07
"UCbEsrYwtICShIo_VPoBCQGw",15000
"UCWJ2lWNubArHWmf3FIHbfcQ",4.7e+07
"UCfm4y4rHF5HGrSr-qbvOwOg",7.4e+07
"UCQMFJQrFdtsYuJvCRQj1zDA",190000
"UCSK1_qvsEuTNZnvLQvNRLGQ",1400000
"UCstqC9y3oqzpNCTkh-_Ut8g",1300000
"UC4LHNX8d8RqnDX0OezgmCTg",1.7e+08
"UCxvxIxnS9cjPyeebbiOd4lg",120000
"UCHvoq_rGmOKJKGId1nD1V4Q",2e+05
"UCJrXOOtvmGn4CF7aYaJwuHA",570000
"UCTxW7HKOZB4rnPOmBNY7dmw",1.2e+07
"UCyP1SvkDY0EaCjDAJnNMLBw",6600000
"UCKi3LZcC8_7doDCEAi9XonA",34000
"UCHAx8o0jj-8L_sqR5QM1Cwg",2.4e+07
"UCw5pE2GElcHeErKVyF76jjg",410000
"UCiDJtJKMICpb9B1qf7qjEOA",4500000
"UCX9_Ks1MXuwXCmtt0fOFsxA",6800000
"UCNZXFLZCpYbi_AfmuQdNCLA",1.1e+07
"UC8jZB1wfX7ku_QqNJ_s3KhQ",33000
"UCskSW39nbaWKSdtdaPrY5IA",41000
"UCZtwV0jsxQgfb7YcCijKj4Q",90000
"UCeTa-D2M_j_J7aKfLUcRFxQ",410000
"UC9J6h__xG-TgmrGz9bRJdDw",85000
"UCgeGealT0QYcrnoYRMltDZg",1300000
"UCX7CYiI89e6wBnwytOx8A-Q",2e+06
"UCbp3o7U6oSa6s-LQBZvOnGg",150000
"UCq0OueAsdxH6b8nyAspwViw",2600000
"UCg_j7kndWLFZEg4yCqUWPCA",2500000
"UChO7xlACgCNpOOIA3Wk6MVQ",110000
"UClmmbesFjIzJAp8NQCtt8dQ",1.5e+07
"UCr8RbU-D7iSvpy0ZO-AasoQ",7600000
"UCcartHVtvAUzfajflyeT_Gg",290000
"UCEmCXnbNYz-MOtXi3lZ7W1Q",3.5e+07
"UC6AHeJa7s9-Brs6VyXy6Dwg",610000
"UC6S0jAvcapqJ48ZzLfva12g",1800000
"UCiZC4ppUa90nhv4b4-WiZ5A",150000
"UChRZS2yZ2TDEO13e3g4zHTQ",110000
"UCnEdfCdbxJJ9ouWKLSRCRRw",220000
"UCNEZ7cqaZzYLeyWfTkelkEA",2300000
"UCc6W7efUSkd9YYoxOnctlFg",6.1e+07
"UC0gaQo_koRNiYSSblRyXC0g",430000
"UCX52tYZiEh_mHoFja3Veciw",8800000
"UCLAumKr0O_z6r6RPiummR1g",2e+07
"UCP74I8w5CgO6Ud9hHYfQABA",4e+05
"UCE3qZH8ltYwmQDmm5uinPXw",2.4e+07
"UCr-rCvgg21KqfrnGopaQeGw",220000
"UC26buublzO30XpR-KP2TfAw",1300000
"UC6NMqrESrKioKr9axv_YM7w",3e+05
"UCRv76wLBC73jiP7LX4C3l8Q",7300000
"UC9TreTE-iXwfwQl72DzDurA",1.4e+07
"UCoTyVfIkM-hjz4JauDoVvog",4800000
"UC0t3ejibUQ91s12D4NAaU7A",2600000
"UCcMTZY1rFXO3Rj44D5VMyiw",1.5e+08
"UCqIqRzEge-Qvt4Iglx-uKdQ",1.5e+08
"UCHa-hWHrTt4hqh-WiHry3Lw",7200000
